Date,Open,High,Low,Close,Adj Close,Volume
12/8/2014,22.9,23.02,22.9,22.9,21.56,12400
12/9/2014,22.99,23,22.9,22.9,21.56,5400
12/10/2014,22.9,22.91,22.87,22.9,21.56,5910
12/11/2014,22.88,22.9,22.88,22.9,21.56,23690
12/12/2014,22.92,22.92,22.9,22.9,21.56,2130
12/15/2014,22.81,23,22.81,23,21.66,7000
12/16/2014,22.99,22.99,22.83,22.83,21.49,18080
12/17/2014,22.83,23.26,22.83,23.2,21.86,13220
12/18/2014,22.96,23.6,22.96,23.3,21.96,38480
12/19/2014,23.7,23.7,23.3,23.7,22.36,13350
12/22/2014,24.5,24.5,24,24.1,22.76,24020
12/23/2014,24.2,24.2,23.8,23.8,22.46,20170
12/24/2014,24,24,23.4,23.5,22.16,6250
12/25/2014,23.59,23.59,23.4,23.5,22.16,4080
12/26/2014,23.5,23.5,23.4,23.4,22.06,5260
12/29/2014,23.4,24,23.11,24,22.66,75020
12/30/2014,23.99,24.2,23.65,24,22.66,14250
12/31/2014,23.67,24,23.67,23.9,22.56,2950
1/2/2015,24,24,23.8,24,22.66,1300
1/5/2015,24,24,23.7,23.8,22.46,1270
1/6/2015,23.8,23.8,23.5,23.78,22.44,4170
1/7/2015,23.69,23.8,23.6,23.78,22.44,8430
1/8/2015,23.7,23.85,23.5,23.8,22.46,9370
1/9/2015,23.79,24.15,23.79,24,22.66,16330
1/12/2015,24,24.41,24,24.4,23.06,10220
1/13/2015,24.4,24.46,24.35,24.45,23.11,8500
1/15/2015,24.4,24.73,24.4,24.7,23.36,39120
1/16/2015,24.62,24.7,24.62,24.65,23.31,11990
1/19/2015,24.6,24.65,24.5,24.6,23.26,4410
1/20/2015,24.6,24.65,24.4,24.6,23.26,13110
1/21/2015,24.6,24.9,24.57,24.9,23.56,28470
1/22/2015,24.8,24.8,24.65,24.67,23.33,1050
1/23/2015,24.7,24.8,24.64,24.79,23.45,20300
1/26/2015,24.79,25,24.7,25,23.66,2820
1/27/2015,25,25,24.8,24.9,23.56,4620
1/28/2015,24.98,24.98,24.8,24.9,23.56,6460
1/29/2015,24.97,24.97,24.91,24.95,23.61,10140
1/30/2015,24.9,24.9,24.71,24.8,23.46,9530
2/2/2015,24.9,24.9,24.8,24.8,23.46,15480
2/3/2015,24.8,24.81,24.75,24.8,23.46,1700
2/4/2015,24.8,24.8,24.5,24.65,23.31,7120
2/5/2015,24.65,24.7,24.45,24.45,23.11,13870
2/6/2015,24.39,24.7,24.05,24.44,23.1,16230
2/9/2015,24.44,24.5,24.11,24.49,23.15,7090
2/10/2015,24.5,24.5,24.21,24.34,23,2110
2/11/2015,24.34,24.35,24.32,24.35,23.01,7190
2/12/2015,24.4,24.66,24.36,24.66,23.32,3460
2/13/2015,24.45,24.65,24.45,24.61,23.27,10700
2/16/2015,24.61,24.69,24.61,24.63,23.29,4970
2/17/2015,24.64,24.64,24.55,24.6,23.26,7880
2/18/2015,24.3,24.55,24.3,24.4,23.06,6060
2/19/2015,24.4,24.9,24.4,24.9,23.56,16950
2/20/2015,24.93,25.2,24.85,25,23.66,24060
2/23/2015,24.87,25.18,24.86,25.18,23.84,16590
2/24/2015,25.1,25.31,25.05,25.3,23.96,10180
2/25/2015,25.3,26.05,25.13,26.05,24.71,20040
2/26/2015,26.48,27.29,26.07,27.29,25.95,22310
2/27/2015,27.6,28.42,27.3,28,26.66,57840
3/2/2015,28.02,28.4,27.7,27.7,26.36,11190
3/3/2015,27.7,27.7,27.15,27.16,25.82,8850
3/4/2015,27.15,27.4,26.8,27.09,25.75,15810
3/5/2015,27,27.45,27,27.4,26.06,7100
3/6/2015,27.4,28,27.4,27.61,26.27,22410
3/9/2015,27.8,28.1,27.63,27.7,26.36,9460
3/10/2015,27.7,27.7,27.6,27.65,26.31,5650
3/11/2015,27.8,27.8,27.6,27.65,26.31,6390
3/12/2015,27.65,27.68,27.6,27.68,26.34,3000
3/13/2015,27.8,28,27.7,28,26.66,14320
3/16/2015,28,28,27.68,27.8,26.46,4990
3/17/2015,27.8,27.8,27.7,27.8,26.46,2960
3/18/2015,27.79,27.8,26.97,26.97,25.63,2390
3/19/2015,26.96,27.45,26.55,27.4,26.06,14650
3/23/2015,27.78,27.78,27.2,27.22,25.88,3490
3/24/2015,27.22,27.22,26.7,26.72,25.38,5580
3/25/2015,26.74,27.2,26.72,26.8,25.46,9450
3/26/2015,27.2,27.2,26.85,26.85,25.51,4750
3/27/2015,26.85,26.85,26.8,26.85,25.51,3690
3/30/2015,26.85,27.59,26.85,27.58,26.24,7660
3/31/2015,27.58,27.58,26.8,26.95,25.61,3860
4/1/2015,26.95,27.19,26.93,27,25.66,8050
4/2/2015,26.95,27.4,26.95,27.4,26.06,5780
4/3/2015,27.38,27.58,27.2,27.2,25.86,3860
4/6/2015,27.2,27.31,27.2,27.2,25.86,3090
4/7/2015,27.57,27.58,27.3,27.5,26.16,5400
4/8/2015,27.57,27.78,27.51,27.77,26.43,4500
4/10/2015,27.77,27.77,27.69,27.69,26.35,820
4/13/2015,27.69,27.8,27.69,27.69,26.35,12680
4/14/2015,27.69,27.69,27.5,27.67,26.33,12230
4/15/2015,27.67,27.8,27.67,27.7,26.36,10900
4/16/2015,27.72,27.74,27.6,27.68,26.34,4180
4/17/2015,27.69,27.69,27.5,27.65,26.31,1110
4/20/2015,27.65,27.65,27.55,27.55,26.21,7780
4/21/2015,27.5,27.68,27.5,27.6,26.26,6140
4/22/2015,27.59,27.62,27.59,27.6,26.26,7160
4/23/2015,27.6,27.68,27.5,27.68,26.34,8800
4/24/2015,27.7,27.8,27.6,27.7,26.36,7810
4/27/2015,27.7,27.7,27.6,27.6,26.26,2530
4/28/2015,27.6,28.3,27.6,27.8,26.46,16430
4/29/2015,27.87,27.98,27.8,27.98,26.64,680
4/30/2015,27.97,27.97,27.65,27.8,26.46,3180
5/4/2015,27.8,27.8,27.6,27.79,26.45,2510
5/5/2015,27.6,28.5,27.6,28.35,27.01,10410
5/6/2015,28.3,28.35,28.3,28.3,26.96,8480
5/7/2015,28.28,28.28,28,28.01,26.67,2480
5/8/2015,28,28,27.82,27.98,26.64,5810
5/11/2015,27.65,27.9,27.65,27.8,26.46,1730
5/12/2015,27.8,27.9,27.8,27.9,26.56,5820
5/13/2015,28,28,27.91,28,26.66,3930
