Date,Open,High,Low,Close,Adj Close,Volume
12/10/2014,8.04,8.08,7.8,7.81,7.81,7370
12/11/2014,7.59,7.81,7.36,7.36,7.36,420
12/12/2014,7.48,7.66,7.35,7.66,7.66,4320
12/15/2014,7.46,7.67,7.24,7.24,7.24,1700
12/16/2014,7.14,7.27,6.92,6.92,6.92,3270
12/17/2014,6.93,7.04,6.93,6.93,6.93,680
12/18/2014,7.04,7.04,6.93,6.93,6.93,320
12/19/2014,6.93,7.01,6.92,6.93,6.93,3900
12/22/2014,6.92,6.97,6.92,6.92,6.92,5730
12/23/2014,6.93,6.93,6.93,6.93,6.93,630
12/24/2014,6.93,6.93,6.93,6.93,6.93,80
12/25/2014,6.93,6.93,6.91,6.91,6.91,770
12/26/2014,6.91,6.91,6.74,6.74,6.74,1810
12/29/2014,6.74,6.74,6.57,6.74,6.74,310
12/30/2014,6.81,6.81,6.74,6.75,6.75,480
12/31/2014,6.75,6.84,6.75,6.84,6.84,1450
1/2/2015,6.84,6.84,6.84,6.84,6.84,50
1/5/2015,6.92,7.13,6.92,7.13,7.13,1910
1/6/2015,7.34,7.56,7.34,7.56,7.56,1300
1/7/2015,7.89,7.89,7.87,7.87,7.87,1440
1/8/2015,7.67,7.86,7.67,7.86,7.86,1120
1/9/2015,7.86,7.86,7.67,7.67,7.67,60
1/12/2015,7.99,7.99,7.99,7.99,7.99,1690
1/16/2015,7.67,7.67,7.67,7.67,7.67,460
1/19/2015,7.67,7.67,7.67,7.67,7.67,330
1/22/2015,7.75,7.75,7.4,7.4,7.4,4850
1/23/2015,7.62,7.62,7.62,7.62,7.62,150
1/26/2015,7.61,7.61,7.61,7.61,7.61,80
1/27/2015,7.41,7.41,7.41,7.41,7.41,10
1/28/2015,7.57,7.57,7.57,7.57,7.57,10
1/30/2015,7.53,7.59,7.53,7.59,7.59,1570
2/5/2015,7.59,7.59,7.59,7.59,7.59,200
2/6/2015,7.59,7.59,7.59,7.59,7.59,120
2/9/2015,7.43,7.43,7.43,7.43,7.43,1190
2/10/2015,7.34,7.34,7.21,7.21,7.21,2940
2/11/2015,7,7.21,7,7.21,7.21,510
2/12/2015,7.21,7.21,7.21,7.21,7.21,10
2/13/2015,7.21,7.21,7.21,7.21,7.21,80
2/16/2015,7.34,7.34,7.34,7.34,7.34,450
2/17/2015,7.34,7.34,7.34,7.34,7.34,1740
2/18/2015,7.34,7.34,7.34,7.34,7.34,150
2/19/2015,7.34,7.56,7.34,7.56,7.56,580
2/20/2015,7.56,7.56,7.56,7.56,7.56,820
2/23/2015,7.56,7.56,7.55,7.55,7.55,4050
2/24/2015,7.56,7.57,7.56,7.57,7.57,3270
2/25/2015,7.59,7.59,7.59,7.59,7.59,3190
2/26/2015,8.06,8.3,8.06,8.3,8.3,14460
2/27/2015,8.34,8.36,8.34,8.36,8.36,2100
3/2/2015,8.36,8.36,8.36,8.36,8.36,4860
3/3/2015,8.34,8.34,8.34,8.34,8.34,4500
3/4/2015,8.34,8.34,8.34,8.34,8.34,3000
3/5/2015,8.34,8.34,8.34,8.34,8.34,1640
3/6/2015,8.35,8.35,8.34,8.34,8.34,7070
3/9/2015,8.34,8.34,8.34,8.34,8.34,2450
3/10/2015,8.34,8.34,8.34,8.34,8.34,10
3/11/2015,8.35,8.35,8.35,8.35,8.35,1560
3/12/2015,8.48,8.48,8.48,8.48,8.48,2890
3/13/2015,8.58,8.58,8.48,8.48,8.48,150
3/16/2015,8.48,8.48,8.48,8.48,8.48,2550
3/17/2015,8.48,8.48,8.48,8.48,8.48,2650
3/18/2015,8.58,8.58,8.34,8.34,8.34,3490
3/19/2015,8.58,8.58,8.58,8.58,8.58,10
