Date,Open,High,Low,Close,Adj Close,Volume
12/7/2014,10.98,11,10.98,11,10.2,16000
12/8/2014,10.98,10.98,10.8,10.97,10.17,11400
12/9/2014,10.8,11.21,10.8,11.2,10.4,4470
12/10/2014,11.2,11.2,11,11.2,10.4,4150
12/11/2014,11.2,11.2,11.1,11.19,10.39,630
12/14/2014,11.19,11.19,11.1,11.19,10.39,13620
12/15/2014,11.19,11.52,11.19,11.4,10.6,8210
12/16/2014,11.39,11.5,11.39,11.5,10.7,4550
12/17/2014,11.49,11.6,11.45,11.6,10.8,9120
12/18/2014,11.26,11.59,10.95,11.59,10.79,273510
12/21/2014,11.6,11.9,11.6,11.78,10.98,15590
12/22/2014,11.75,11.75,11.42,11.69,10.89,1150
12/23/2014,11.58,11.6,11.58,11.6,10.8,2890
12/24/2014,11.46,11.6,11.46,11.6,10.8,6350
12/25/2014,11.58,11.58,11.26,11.48,10.68,5360
12/28/2014,11.45,11.48,11.45,11.48,10.68,1450
12/29/2014,11.4,11.5,11.4,11.4,10.6,9650
12/30/2014,11.59,11.59,11.4,11.4,10.6,5200
1/1/2015,11.74,11.9,11.4,11.9,11.1,950
1/4/2015,11.89,11.9,11.89,11.9,11.1,100
1/5/2015,11.89,11.89,11.8,11.87,11.07,2110
1/6/2015,11.87,11.87,11.52,11.8,11,2840
1/7/2015,11.75,11.75,11.75,11.75,10.95,1140
1/8/2015,11.72,11.72,11.65,11.72,10.92,990
1/11/2015,11.72,11.72,11.65,11.65,10.85,400
1/12/2015,11.75,11.75,11.4,11.69,10.89,920
1/14/2015,11.73,11.73,11.7,11.7,10.9,100
1/15/2015,11.71,11.9,11.4,11.68,10.88,6780
1/18/2015,11.4,11.7,11.4,11.7,10.9,430
1/19/2015,11.7,11.7,11.41,11.7,10.9,350
1/20/2015,11.68,11.7,11.66,11.7,10.9,1420
1/21/2015,11.7,11.9,11.57,11.9,11.1,9500
1/22/2015,11.9,11.9,11.6,11.9,11.1,1120
1/25/2015,11.6,11.9,11.6,11.9,11.1,2250
1/26/2015,11.79,11.8,11.65,11.8,11,2050
1/27/2015,11.5,11.9,11.5,11.9,11.1,2650
1/28/2015,11.9,11.9,11.7,11.9,11.1,1740
1/29/2015,11.8,12.25,11.75,12,11.2,7720
2/1/2015,12,12.45,12,12.39,11.59,11470
2/2/2015,12.69,13.07,12.49,12.65,11.85,9030
2/3/2015,13,13.39,13,13,12.2,29070
2/4/2015,13.39,13.39,13,13,12.2,7740
2/5/2015,13,13,13,13,12.2,1000
2/8/2015,12.7,12.7,12.7,12.7,11.9,860
2/9/2015,12.6,12.98,12.6,12.62,11.82,810
2/10/2015,12.98,13.26,12.7,13,12.2,8630
2/11/2015,13,13.01,13,13.01,12.21,4480
2/12/2015,13.01,13.01,13,13,12.2,1010
2/15/2015,13,13,13,13,12.2,390
2/16/2015,13,13.2,13,13,12.2,3200
2/17/2015,13,13.1,12.71,13.1,12.3,2020
2/18/2015,12.99,13.1,12.99,13,12.2,5130
2/19/2015,12.85,13,12.8,13,12.2,4110
2/22/2015,13,13,12.8,12.98,12.18,6690
2/23/2015,12.97,12.98,12.97,12.98,12.18,1100
2/24/2015,12.97,12.97,12.9,12.97,12.17,670
2/25/2015,12.8,12.9,12.8,12.9,12.1,1460
2/26/2015,12.6,12.78,12.23,12.35,11.55,15110
3/1/2015,12.8,12.8,12.35,12.46,11.66,1460
3/2/2015,12.46,12.7,12.45,12.7,11.9,4370
3/3/2015,12.7,12.97,12.7,12.97,12.17,4680
3/4/2015,12.97,12.99,12.97,12.97,12.17,2210
3/5/2015,12.97,12.97,12.81,12.81,12.01,960
3/8/2015,12.8,12.8,12.7,12.8,12,2740
3/9/2015,12.8,12.8,12.8,12.8,12,350
3/10/2015,12.7,12.8,12.7,12.8,12,550
3/11/2015,12.85,12.85,12.83,12.85,12.05,730
3/12/2015,12.85,12.85,12.85,12.85,12.05,1860
3/15/2015,12.85,12.9,12.85,12.85,12.05,1030
3/16/2015,12.85,12.95,12.85,12.95,12.15,2640
3/17/2015,12.95,12.95,12.85,12.85,12.05,6260
3/18/2015,12.99,12.99,12.9,12.9,12.1,650
3/22/2015,12.9,12.9,12.7,12.7,11.9,3010
3/23/2015,12.75,12.75,12.7,12.75,11.95,780
3/24/2015,12.75,12.8,12.75,12.8,12,130
3/25/2015,12.8,12.99,12.75,12.8,12,730
3/26/2015,12.99,13,12.99,13,12.2,2560
3/29/2015,13,13,13,13,12.2,130
3/30/2015,12.9,13.1,12.9,13.1,12.3,5030
3/31/2015,13.49,13.49,13.49,13.49,12.69,10
4/1/2015,13.39,13.47,13.1,13.46,12.66,4340
4/2/2015,13.44,13.46,13.44,13.46,12.66,500
4/5/2015,13.46,13.46,13.22,13.25,12.45,1580
4/6/2015,13.25,13.46,13.25,13.46,12.66,610
4/7/2015,13.44,13.45,13.23,13.44,12.64,780
4/9/2015,13.46,13.46,13.44,13.46,12.66,280
4/12/2015,13.45,13.46,13.45,13.46,12.66,1400
4/13/2015,13.25,13.25,13.06,13.06,12.26,9710
4/14/2015,13.45,13.45,13.05,13.05,12.25,860
