Date,Open,High,Low,Close,Adj Close,Volume
12/8/2014,2.47,2.48,2.47,2.48,2.48,42950
12/9/2014,2.48,2.49,2.47,2.47,2.47,38530
12/10/2014,2.47,2.47,2.44,2.45,2.45,90580
12/11/2014,2.45,2.46,2.41,2.44,2.44,39100
12/12/2014,2.45,2.45,2.42,2.44,2.44,51160
12/15/2014,2.45,2.5,2.45,2.48,2.48,28110
12/16/2014,2.5,2.53,2.47,2.48,2.48,51800
12/17/2014,2.52,2.53,2.49,2.5,2.5,110560
12/18/2014,2.5,2.6,2.5,2.6,2.6,197860
12/19/2014,2.67,2.7,2.63,2.63,2.63,448490
12/22/2014,2.74,2.74,2.63,2.66,2.66,120960
12/23/2014,2.64,2.68,2.57,2.58,2.58,175190
12/24/2014,2.64,2.64,2.53,2.54,2.54,80690
12/25/2014,2.54,2.58,2.52,2.52,2.52,91630
12/26/2014,2.54,2.54,2.5,2.52,2.52,85780
12/29/2014,2.54,2.54,2.48,2.5,2.5,47880
12/30/2014,2.5,2.5,2.46,2.48,2.48,107080
12/31/2014,2.49,2.49,2.42,2.42,2.42,546130
1/2/2015,2.45,2.5,2.38,2.38,2.38,201730
1/5/2015,2.39,2.4,2.29,2.29,2.29,307840
1/6/2015,2.28,2.29,2.22,2.24,2.24,204270
1/7/2015,2.24,2.24,2.18,2.18,2.18,1170000
1/8/2015,2.17,2.17,2.08,2.14,2.14,1980000
1/9/2015,2.14,2.17,2.08,2.12,2.12,2640000
1/12/2015,2.15,2.21,2.15,2.2,2.2,473110
1/13/2015,2.26,2.28,2.23,2.25,2.25,374520
1/15/2015,2.25,2.26,2.19,2.19,2.19,403540
1/16/2015,2.21,2.27,2.15,2.27,2.27,3410000
1/19/2015,2.28,2.33,2.23,2.27,2.27,276600
1/20/2015,2.25,2.28,2.2,2.22,2.22,164500
1/21/2015,2.2,2.25,2.17,2.18,2.18,114160
1/22/2015,2.17,2.19,2.13,2.17,2.17,112330
1/23/2015,2.17,2.19,2.17,2.18,2.18,157570
1/26/2015,2.18,2.18,2.15,2.16,2.16,113240
1/27/2015,2.15,2.16,2.12,2.13,2.13,67170
1/28/2015,2.14,2.14,2.09,2.09,2.09,164200
