Date,Open,High,Low,Close,Adj Close,Volume
1/26/2015,6.17,6.26,6.14,6.26,6.26,210460
1/27/2015,6.44,6.64,6.44,6.64,6.64,302920
1/28/2015,6.64,6.83,6.47,6.74,6.74,66210
1/29/2015,6.73,7.1,6.44,7.1,7.1,211040
1/30/2015,7.1,7.1,6.9,6.98,6.98,20210
2/2/2015,6.95,6.95,6.64,6.7,6.7,113450
2/3/2015,6.41,6.68,6.41,6.65,6.65,27640
2/4/2015,6.5,6.65,6.46,6.6,6.6,17530
2/5/2015,6.53,6.6,6.44,6.45,6.45,5310
2/6/2015,6.6,6.65,6.42,6.64,6.64,4850
2/9/2015,6.64,6.64,6.45,6.6,6.6,2440
2/10/2015,6.45,6.6,6.41,6.45,6.45,16120
2/11/2015,6.46,6.56,6.46,6.5,6.5,2130
2/12/2015,6.5,6.59,6.32,6.59,6.59,6760
2/13/2015,6.65,6.65,6.49,6.61,6.61,7180
2/16/2015,6.8,6.8,6.6,6.6,6.6,4290
2/17/2015,6.6,6.79,6.58,6.79,6.79,16770
2/18/2015,6.8,7,6.63,6.8,6.8,26700
2/19/2015,6.8,6.99,6.65,6.8,6.8,18990
2/20/2015,6.8,6.8,6.6,6.6,6.6,34630
2/23/2015,6.78,6.85,6.6,6.6,6.6,6810
2/24/2015,6.5,6.7,6.45,6.7,6.7,64480
2/25/2015,6.73,6.77,6.5,6.6,6.6,18500
2/26/2015,6.6,6.79,6.6,6.78,6.78,42300
2/27/2015,6.8,7.1,6.8,7.1,7.1,108160
3/2/2015,7.19,7.51,7.1,7.1,7.1,62440
3/3/2015,7.2,7.2,7.1,7.1,7.1,83980
3/4/2015,7,7.24,7,7.2,7.2,12220
3/5/2015,7.24,7.24,7.03,7.03,7.03,1870
3/6/2015,6.91,7.03,6.84,7,7,16150
3/9/2015,6.84,7.05,6.84,6.9,6.9,6470
3/10/2015,7,7.04,6.75,6.8,6.8,10940
3/11/2015,6.9,7.03,6.7,6.95,6.95,5720
3/12/2015,6.81,7.1,6.71,7.1,7.1,46510
3/13/2015,7.2,7.3,7.15,7.19,7.19,20820
3/16/2015,7.3,7.3,7.09,7.2,7.2,7730
3/17/2015,7.25,7.25,7.1,7.17,7.17,3130
3/18/2015,7.24,7.24,7.03,7.03,7.03,5920
3/19/2015,7.1,7.25,7.01,7.23,7.23,4310
3/23/2015,7.12,7.2,7.02,7.02,7.02,3410
3/24/2015,7.19,7.19,6.98,7.02,7.02,10360
3/25/2015,7.02,7.1,6.85,7.1,7.1,6040
3/26/2015,7.1,7.1,6.98,7,7,1130
3/27/2015,7,7,6.93,7,7,2950
3/30/2015,7,7,6.9,6.95,6.95,3370
3/31/2015,7,7.12,6.8,6.94,6.94,10750
4/1/2015,6.93,7,6.88,7,7,4270
4/2/2015,6.97,6.99,6.96,6.99,6.99,3740
4/3/2015,7,7.08,6.9,6.9,6.9,5770
4/6/2015,7,7,6.9,6.9,6.9,390
4/7/2015,6.7,6.9,6.7,6.9,6.9,2540
4/8/2015,6.99,7.1,6.86,6.9,6.9,2590
4/10/2015,6.98,6.98,6.8,6.9,6.9,900
