Date,Open,High,Low,Close,Adj Close,Volume
1/8/2014,11.31,11.31,11.31,11.31,11.31,253054
1/9/2014,11.5,11.82,11.82,11.94,11.32,252767
1/14/2014,11.7,12.05,12.05,12.05,11.7,558722
1/15/2014,12.13,12.49,12.49,12.49,12.13,124493
1/16/2014,12.5,12.86,12.86,12.86,12.5,83359
1/19/2014,12.85,13.05,13.05,13.15,12.85,75606
1/20/2014,12.66,12.7,12.7,13,12.66,35264
1/21/2014,12.46,12.77,12.77,12.79,12.45,15470
1/22/2014,12.7,12.78,12.78,12.8,12.54,5222
1/23/2014,12.75,13,13,13.04,12.75,30150
1/26/2014,13.3,13.15,13.15,13.3,13.01,23360
1/27/2014,13.15,13.2,13.2,13.25,13,22469
1/28/2014,13.2,13.2,13.2,13.25,13.05,6925
1/29/2014,13.19,13,13,13.2,12.91,2738
1/30/2014,13,13,13,13.1,12.83,7314
2/2/2014,13.1,13,13,13.1,12.8,3887
2/3/2014,13,12.98,12.98,13,12.92,5034
2/4/2014,12.95,13,13,13.1,12.95,17766
2/5/2014,13,13.1,13.1,13.1,12.96,150589
2/6/2014,13.15,13.08,13.08,13.19,13.08,20456
2/9/2014,13.11,13.07,13.07,13.2,13.03,31146
2/10/2014,13.08,13.25,13.25,13.46,13.08,387044
2/11/2014,13.84,14.04,14.04,14.04,13.84,83455
2/12/2014,14.67,14.68,14.68,14.89,14.4,94401
2/13/2014,15,14.63,14.63,15.1,14.55,35933
2/16/2014,14.59,14.5,14.5,14.59,14.25,18918
2/17/2014,14.4,14.8,14.8,14.83,14.2,49770
2/18/2014,14.8,14.62,14.62,14.85,14.62,19849
2/19/2014,14.9,14.7,14.7,14.9,14.46,14225
2/20/2014,14.29,14.59,14.59,14.6,14.28,3243
2/23/2014,14.44,14.69,14.69,14.75,14.02,21472
2/24/2014,14.41,14.35,14.35,14.41,14.26,14075
2/25/2014,14.29,14.77,14.77,14.77,14.02,40043
2/26/2014,14.35,14.64,14.64,14.64,14.35,6475
2/27/2014,14.39,14.4,14.4,14.4,14.25,18054
3/2/2014,13.97,14.06,14.06,14.06,13.97,5975
3/3/2014,13.98,14,14,14.2,13.98,5170
3/4/2014,13.9,14.11,14.11,14.42,13.9,24220
3/5/2014,14,14.2,14.2,14.2,14,2271
3/6/2014,14.05,14.47,14.47,14.47,14.05,23365
3/9/2014,14.3,14.3,14.3,14.3,14.2,5120
