Date,Open,High,Low,Close,Adj Close,Volume
12/8/2014,7.4,7.4,7.22,7.39,7.16,4440
12/9/2014,7.25,7.38,7.1,7.1,6.87,4770
12/10/2014,7.3,7.3,7.25,7.25,7.02,1650
12/11/2014,7.31,7.31,7.25,7.3,7.07,1480
12/12/2014,7.26,7.38,7.25,7.38,7.15,8120
12/15/2014,7.39,7.49,7.39,7.4,7.17,7340
12/16/2014,7.4,7.4,7.26,7.26,7.03,5100
12/17/2014,7.26,7.39,7.2,7.26,7.03,8050
12/18/2014,7.38,7.38,7.05,7.37,7.14,26710
12/19/2014,7.36,7.37,7.29,7.29,7.06,4920
12/22/2014,7.4,7.4,7.29,7.29,7.06,2300
12/23/2014,7.3,7.3,7.28,7.28,7.05,2090
12/24/2014,7.35,7.35,7.3,7.3,7.07,270
12/25/2014,7.3,7.35,7.2,7.3,7.07,3320
12/26/2014,7.3,7.35,7.2,7.25,7.02,1360
12/29/2014,7.3,7.3,7.2,7.3,7.07,8820
12/30/2014,7.25,7.3,7.25,7.3,7.07,730
1/2/2015,7.25,7.5,7.25,7.5,7.27,630
1/5/2015,7.5,7.5,7.28,7.28,7.05,1020
1/6/2015,7.39,7.39,7.2,7.35,7.12,3670
1/7/2015,7.3,7.3,7.15,7.15,6.92,650
1/8/2015,7.3,7.3,7.15,7.27,7.04,2350
1/9/2015,7.28,7.28,7.1,7.27,7.04,1020
1/12/2015,7.2,7.2,7.06,7.06,6.83,1000
1/13/2015,7.27,7.27,7.08,7.08,6.85,1220
1/15/2015,7.24,7.24,7.1,7.24,7.01,150
1/16/2015,7.05,7.44,7.05,7.43,7.2,11660
1/19/2015,7.25,7.4,7.25,7.3,7.07,5570
1/20/2015,7.3,7.3,7.3,7.3,7.07,200
1/21/2015,7.3,7.5,7.3,7.5,7.27,20210
1/22/2015,7.5,7.5,7.3,7.3,7.07,1840
1/23/2015,7.11,7.32,7.11,7.3,7.07,820
1/26/2015,7.4,7.4,7.21,7.21,6.98,530
1/27/2015,7.38,7.5,7.37,7.5,7.27,12820
1/28/2015,7.5,7.5,7.5,7.5,7.27,300
1/29/2015,7.51,7.51,7.28,7.3,7.07,4110
1/30/2015,7.3,7.31,7.3,7.31,7.08,840
2/2/2015,7.28,7.45,7.24,7.24,7.01,1780
2/3/2015,7.45,7.54,7.45,7.46,7.23,9900
2/4/2015,7.45,7.49,7.4,7.48,7.25,5320
2/5/2015,7.49,7.54,7.49,7.49,7.26,2400
2/6/2015,7.54,7.55,7.4,7.4,7.17,3220
2/9/2015,7.55,7.55,7.2,7.2,6.97,570
2/10/2015,7.21,7.4,7.2,7.4,7.17,2600
2/11/2015,7.39,7.4,7.25,7.39,7.16,1130
2/12/2015,7.37,7.39,7.37,7.39,7.16,1830
2/13/2015,7.39,7.39,7.25,7.39,7.16,630
2/16/2015,7.35,7.35,7.35,7.35,7.12,9070
2/17/2015,7.25,7.4,7.25,7.4,7.17,7280
2/19/2015,7.4,7.4,7.27,7.27,7.04,2960
2/20/2015,7.28,7.35,7.28,7.34,7.11,1180
2/23/2015,7.34,7.34,7.3,7.3,7.07,1160
2/24/2015,7.35,7.35,7.28,7.28,7.05,5720
2/25/2015,7.28,7.28,7.2,7.2,6.97,1100
2/26/2015,7.2,7.2,7.12,7.12,6.89,3500
2/27/2015,7.04,7.25,7.04,7.2,6.97,3690
3/2/2015,7.2,7.2,7.19,7.19,6.96,1340
3/3/2015,7.19,7.19,7.02,7.02,6.79,1230
3/4/2015,7.1,7.11,7.1,7.1,6.87,2440
3/5/2015,7.1,7.1,7.03,7.03,6.8,670
3/6/2015,7.03,7.19,7.02,7.16,6.93,7000
3/9/2015,7.16,7.25,7.16,7.16,6.93,1900
3/10/2015,7.16,7.2,7.16,7.2,6.97,300
3/11/2015,7.2,7.23,7.2,7.23,7,2050
3/12/2015,7.23,7.4,7.23,7.3,7.07,500
3/13/2015,7.29,7.29,7.29,7.29,7.06,3000
3/16/2015,7.25,7.25,7.23,7.23,7,1110
3/17/2015,7.03,7.35,7.03,7.23,7,1940
3/18/2015,7.23,7.28,7.02,7.28,7.05,1320
3/19/2015,7.28,7.28,7.28,7.28,7.05,70
3/24/2015,7.07,7.2,7.07,7.08,6.85,1790
3/25/2015,7.27,7.28,7.27,7.28,7.05,430
3/26/2015,7.28,7.28,7.27,7.27,7.04,420
3/30/2015,7.27,7.27,7.27,7.27,7.04,10
3/31/2015,7.1,7.1,7.1,7.1,6.87,1100
4/1/2015,7.1,7.1,7,7.1,6.87,3870
4/2/2015,7.24,7.24,7,7,6.77,2000
4/3/2015,7.2,7.2,7,7,6.77,4190
4/6/2015,7,7,6.92,6.92,6.69,1210
4/7/2015,7,7,6.92,6.95,6.72,5570
4/8/2015,7.14,7.14,7.14,7.14,6.91,100
4/10/2015,6.95,7.14,6.94,6.94,6.71,12580
4/13/2015,6.94,6.94,6.94,6.94,6.71,3010
4/14/2015,7,7,7,7,6.77,350
4/15/2015,7,7,6.91,7,6.77,1420
4/16/2015,7.14,7.14,7.14,7.14,6.91,10
4/17/2015,7,7,7,7,6.77,1080
4/20/2015,7,7,7,7,6.77,5000
4/21/2015,6.99,7,6.99,7,6.77,1150
4/22/2015,6.99,7,6.99,7,6.77,1750
4/23/2015,7.03,7.23,7.03,7.19,6.96,5930
4/24/2015,7.3,7.35,7.03,7.2,6.97,9120
4/27/2015,7.2,7.35,7.2,7.2,6.97,48610
4/28/2015,7.21,7.21,7.1,7.21,6.98,17340
4/29/2015,7.2,7.3,7.2,7.2,6.97,4370
4/30/2015,7.11,7.11,7.11,7.11,6.88,200
5/4/2015,7.1,7.1,7.08,7.08,6.85,10000
5/5/2015,7.08,7.08,7.08,7.08,6.85,6500
5/6/2015,7.07,7.2,7,7.2,6.97,3440
5/7/2015,7.2,7.2,7,7.14,6.91,23740
5/8/2015,7.18,7.18,6.99,7.18,6.95,70
5/11/2015,7.19,7.19,6.97,7,6.77,6110
5/13/2015,7.09,7.09,6.92,7.09,6.86,750
5/14/2015,7.08,7.09,6.95,7,6.77,19680
5/15/2015,7,7,6.95,6.95,6.72,400
5/18/2015,6.82,6.95,6.82,6.95,6.72,850
5/19/2015,6.9,7.05,6.9,7.05,6.82,6270
5/20/2015,7,7,6.95,7,6.77,2520
5/21/2015,7.15,7.15,6.95,7.15,6.92,6650
5/25/2015,7.15,7.15,7.15,7.15,6.92,2000
5/26/2015,7.15,7.19,7,7.19,6.96,1960
5/27/2015,7.19,7.19,7.19,7.19,6.96,40
5/28/2015,7.15,7.19,7.15,7.19,6.96,2520
5/29/2015,7.19,7.19,7.19,7.19,6.96,2000
6/1/2015,6.99,7.15,6.98,7.15,6.92,3820
6/2/2015,6.98,7.13,6.98,7.13,6.9,2080
6/3/2015,7.17,7.2,7.17,7.17,6.94,4110
6/4/2015,7.17,7.28,7.17,7.28,7.05,80
6/8/2015,7.1,7.2,7.1,7.2,6.97,120
6/10/2015,7,7,7,7,6.77,150
6/11/2015,6.12,6.12,6.12,6.12,5.89,190
6/12/2015,6.02,6.29,6.02,6.12,5.89,3270
6/15/2015,6.2,6.2,6.2,6.2,5.97,20
6/17/2015,6.11,6.2,6.11,6.2,5.97,3800
6/18/2015,6.34,6.34,6.11,6.11,5.88,720
6/19/2015,6.27,6.27,6.02,6.27,6.04,670
6/22/2015,6.11,6.11,6.11,6.11,5.88,5200
6/23/2015,6.11,6.11,6.11,6.11,5.88,420
6/24/2015,6.11,6.11,6.11,6.11,5.88,4950
6/25/2015,6.11,6.11,6.11,6.11,5.88,550
6/29/2015,6.11,6.11,5.93,6.11,5.88,3490
6/30/2015,6.11,6.11,5.98,5.98,5.75,110
7/1/2015,5.94,6.11,5.94,6.11,5.88,2620
7/2/2015,6.11,6.11,6.11,6.11,5.88,220
7/3/2015,6.02,6.1,5.98,6.09,5.86,290
7/6/2015,6.2,6.2,6.2,6.2,5.97,870
7/7/2015,6,6.11,6,6.11,5.88,1210
7/8/2015,6.08,6.09,6.08,6.08,5.85,2140
7/9/2015,6.07,6.07,5.94,6.07,5.84,1200
7/10/2015,6.06,6.06,5.98,5.98,5.75,1350
7/13/2015,5.98,6.02,5.98,6.02,5.82,170
7/14/2015,6.01,6.01,6.01,6.01,5.81,110
