Date,Open,High,Low,Close,Div,Adj Close,Volume
12/8/2014,7.08,7.1,7.08,7.1,0.21,6.89,7660
12/9/2014,7.1,7.1,7.1,7.1,0.21,6.89,2080
12/10/2014,7.12,7.12,7.1,7.11,0.21,6.9,24600
12/11/2014,7.1,7.11,7.08,7.11,0.21,6.9,4960
12/15/2014,7.11,7.17,7.11,7.17,0.21,6.96,2890
12/16/2014,7.17,7.19,7.15,7.19,0.21,6.98,3310
12/17/2014,7.1,7.2,7.1,7.2,0.21,6.99,11800
12/18/2014,7.1,7.25,7.1,7.11,0.21,6.9,10100
12/19/2014,7.25,7.29,7.25,7.25,0.21,7.04,13810
12/22/2014,7.3,7.35,7.25,7.35,0.21,7.14,3660
12/23/2014,7.25,7.35,7.25,7.25,0.21,7.04,3110
12/24/2014,7.24,7.24,7.2,7.23,0.21,7.02,2900
12/25/2014,7.2,7.25,7.2,7.25,0.21,7.04,4380
12/26/2014,7.21,7.21,7.2,7.2,0.21,6.99,290
12/29/2014,7.16,7.25,7.16,7.25,0.21,7.04,640
12/30/2014,7.2,7.3,7.18,7.3,0.21,7.09,1620
12/31/2014,7.25,7.25,7,7,0.21,6.79,1790
1/2/2015,7.05,7.21,7,7.21,0.21,7,1250
1/5/2015,7.1,7.36,7.1,7.36,0.21,7.15,2070
1/6/2015,7.3,7.38,7.15,7.38,0.21,7.17,2260
1/7/2015,7.3,7.45,7.3,7.45,0.21,7.24,6750
1/8/2015,7.4,7.4,7.4,7.4,0.21,7.19,3440
1/9/2015,7.44,7.44,7.4,7.4,0.21,7.19,8780
1/12/2015,7.32,7.4,7.3,7.4,0.21,7.19,3320
1/15/2015,7.38,7.38,7.2,7.2,0.21,6.99,7350
1/16/2015,7.37,7.4,7.26,7.39,0.21,7.18,2620
1/19/2015,7.39,7.39,7.39,7.39,0.21,7.18,320
1/21/2015,7.35,7.35,7.2,7.3,0.21,7.09,3400
1/22/2015,7.28,7.35,7.28,7.35,0.21,7.14,1960
1/23/2015,7.35,7.35,7.3,7.34,0.21,7.13,9380
1/26/2015,7.34,7.34,7.34,7.34,0.21,7.13,320
1/27/2015,7.33,7.34,7.15,7.15,0.21,6.94,1820
1/28/2015,7.15,7.15,7.15,7.15,0.21,6.94,710
1/29/2015,7.3,7.3,7.2,7.2,0.21,6.99,490
1/30/2015,7.21,7.4,7.2,7.4,0.21,7.19,15860
2/2/2015,7.3,7.5,7.3,7.5,0.21,7.29,12880
2/3/2015,7.4,7.4,7.28,7.3,0.21,7.09,1470
2/4/2015,7.3,7.3,7.25,7.25,0.21,7.04,1180
2/5/2015,7.25,7.25,7.25,7.25,0.21,7.04,1970
2/6/2015,7.3,7.3,7.27,7.27,0.21,7.06,280
2/9/2015,7.3,7.4,7.3,7.4,0.21,7.19,5570
2/10/2015,7.33,7.54,7.33,7.5,0.21,7.29,118050
2/11/2015,7.5,7.68,7.5,7.52,0.21,7.31,13060
2/12/2015,7.4,7.55,7.4,7.52,0.21,7.31,30520
2/13/2015,7.54,7.61,7.54,7.6,0.21,7.39,5740
2/16/2015,7.54,7.6,7.54,7.6,0.21,7.39,6130
2/17/2015,7.54,7.55,7.54,7.55,0.21,7.34,34910
2/18/2015,7.55,7.57,7.55,7.57,0.21,7.36,14370
2/19/2015,7.53,7.7,7.53,7.65,0.21,7.44,36850
2/20/2015,7.7,7.72,7.65,7.72,0.21,7.51,22180
2/23/2015,7.73,7.73,7.6,7.6,0.21,7.39,117490
2/24/2015,7.6,7.7,7.55,7.65,0.21,7.44,13920
2/25/2015,7.65,7.74,7.65,7.72,0.21,7.51,8950
2/26/2015,7.65,7.72,7.65,7.72,0.21,7.51,2450
2/27/2015,7.65,7.8,7.65,7.7,0.21,7.49,8220
3/2/2015,7.7,7.8,7.7,7.8,0.21,7.59,3810
3/3/2015,7.81,7.84,7.76,7.8,0.21,7.59,24360
3/4/2015,7.8,7.8,7.76,7.8,0.21,7.59,1750
3/5/2015,7.8,7.8,7.76,7.76,0.21,7.55,6120
3/6/2015,7.78,7.9,7.78,7.9,0.21,7.69,10190
3/9/2015,7.85,7.9,7.85,7.9,0.21,7.69,29640
3/10/2015,7.9,7.92,7.9,7.91,0.21,7.7,5000
3/11/2015,8,8,7.91,7.91,0.21,7.7,4280
3/12/2015,7.91,7.99,7.91,7.95,0.21,7.74,5390
3/13/2015,7.92,8,7.92,8,0.21,7.79,10530
3/16/2015,8,8,8,8,0.21,7.79,5110
3/17/2015,8,8,7.95,7.99,0.21,7.78,3520
3/18/2015,7.95,7.99,7.76,7.76,0.21,7.55,9880
3/19/2015,7.76,7.99,7.76,7.95,0.21,7.74,2700
3/23/2015,7.99,8,7.99,7.99,0.21,7.78,21700
3/24/2015,7.99,7.99,7.91,7.95,0.21,7.74,1490
3/25/2015,7.91,7.99,7.9,7.99,0.21,7.78,65660
3/26/2015,7.85,7.9,7.85,7.87,0.21,7.66,10380
3/27/2015,7.85,7.85,7.85,7.85,0.21,7.64,1650
3/30/2015,7.85,7.91,7.85,7.9,0.21,7.69,5190
3/31/2015,7.9,7.9,7.85,7.85,0.21,7.64,1500
4/1/2015,7.76,7.85,7.76,7.85,0.21,7.64,580
4/2/2015,7.8,7.9,7.8,7.9,0.21,7.69,950
4/3/2015,7.8,7.9,7.79,7.9,0.21,7.69,12850
4/6/2015,7.9,7.9,7.9,7.9,0.21,7.69,0
4/7/2015,7.8,7.95,7.8,7.9,0.21,7.69,10910
4/8/2015,7.8,7.8,7.76,7.76,0.21,7.55,27070
4/10/2015,7.8,7.94,7.8,7.94,0.21,7.73,50
4/13/2015,7.93,7.94,7.92,7.94,0.21,7.73,1670
4/14/2015,7.8,7.9,7.8,7.9,0.21,7.69,3750
4/15/2015,7.77,7.9,7.77,7.8,0.21,7.59,1740
4/16/2015,7.8,7.9,7.8,7.81,0.21,7.6,4580
4/17/2015,7.82,7.82,7.8,7.81,0.21,7.6,8410
4/20/2015,7.81,7.81,7.8,7.81,0.21,7.6,1410
4/21/2015,7.76,7.89,7.76,7.89,0.21,7.68,21800
4/22/2015,7.8,7.97,7.77,7.96,0.21,7.75,12810
4/23/2015,7.98,7.98,7.9,7.96,0.21,7.75,6110
4/24/2015,7.9,7.94,7.8,7.92,0.21,7.71,24750
4/27/2015,7.92,7.92,7.92,7.92,0.21,7.71,90
4/28/2015,7.93,7.95,7.9,7.92,0.21,7.71,1620
4/29/2015,7.8,7.91,7.8,7.91,0.21,7.7,1120
4/30/2015,7.81,7.81,7.77,7.8,0.21,7.59,5750
5/4/2015,7.8,7.91,7.7,7.79,0.21,7.58,19370
5/5/2015,7.8,7.8,7.7,7.79,0.21,7.58,7750
5/6/2015,7.6,7.78,7.58,7.78,0.21,7.57,2110
5/7/2015,7.7,7.74,7.55,7.7,0.21,7.49,8690
5/8/2015,7.69,7.69,7.65,7.68,0.21,7.47,1820
5/11/2015,7.68,7.68,7.68,7.68,0.21,7.47,150
5/12/2015,7.67,7.7,7.67,7.68,0.21,7.47,27750
5/13/2015,7.61,7.7,7.61,7.68,0.21,7.47,6300
5/14/2015,7.65,7.73,7.65,7.73,0.21,7.52,24720
5/15/2015,7.74,7.8,7.74,7.8,0.21,7.59,7380
5/18/2015,7.51,7.79,7.51,7.78,0.21,7.57,20490
5/19/2015,7.6,7.7,7.6,7.7,0.21,7.49,8570
5/20/2015,7.7,7.7,7.7,7.7,0.21,7.49,10
5/21/2015,7.66,7.7,7.66,7.66,0.21,7.45,5100
5/22/2015,7.65,7.65,7.55,7.55,0.21,7.34,7800
5/25/2015,7.55,7.55,7.5,7.55,0.21,7.34,1230
5/26/2015,7.55,7.6,7.22,7.6,0.21,7.39,890
5/27/2015,7.4,7.6,7.4,7.6,0.21,7.39,1790
5/28/2015,7.45,7.45,7.45,7.45,0.21,7.24,10
5/29/2015,7.45,7.45,7.4,7.44,0.21,7.23,2460
6/1/2015,7.43,7.43,7.4,7.43,0.21,7.22,8820
6/2/2015,7.42,7.43,7.42,7.43,0.21,7.22,8640
6/3/2015,7.4,7.4,7.4,7.4,0.21,7.19,18950
6/4/2015,7.35,7.4,7.35,7.4,0.21,7.19,3100
6/5/2015,7.2,7.4,7.2,7.4,0.21,7.19,2150
6/8/2015,7.39,7.4,7.39,7.4,0.21,7.19,640
6/9/2015,7.4,7.4,7.35,7.4,0.21,7.19,1370
6/10/2015,7.2,7.4,7.2,7.2,0.21,6.99,2730
6/11/2015,7.1,7.4,7.1,7.4,0.21,7.19,5580
6/12/2015,7.22,7.4,7.2,7.4,0.21,7.19,1250
6/15/2015,7.2,7.4,7.2,7.4,0.21,7.19,9010
6/16/2015,6.96,7.37,6.96,7.35,0.23,7.12,1150
6/17/2015,7.13,7.4,7.13,7.39,0.23,7.16,3410
6/18/2015,7.21,7.39,7.21,7.39,0.23,7.16,700
6/19/2015,7.4,7.4,7.2,7.35,0.23,7.12,14580
6/22/2015,7.35,7.4,7.35,7.35,0.23,7.12,22850
6/23/2015,7.3,7.4,7.25,7.3,0.23,7.07,5760
6/24/2015,7.25,7.3,7.25,7.3,0.23,7.07,10390
6/25/2015,7.25,7.35,7.25,7.35,0.23,7.12,2350
6/26/2015,7.35,7.35,7.2,7.25,0.23,7.02,2530
6/29/2015,7.2,7.3,7.2,7.2,0.23,6.97,8760
6/30/2015,7.01,7.2,7.01,7.19,0.23,6.96,8480
7/1/2015,7.19,7.19,7.19,7.19,0.23,6.96,10
7/2/2015,7.19,7.2,7.19,7.2,0.23,6.97,1160
7/3/2015,7.19,7.35,7.19,7.35,0.23,7.12,5880
7/6/2015,7.36,7.36,7.35,7.35,0.23,7.12,480
7/8/2015,7.39,7.39,7.2,7.2,0.23,6.97,6420
7/9/2015,7.2,7.25,7.2,7.25,0.23,7.02,4110
7/10/2015,7.15,7.2,7.15,7.2,0.23,6.97,390
