Date,Open,High,Low,Close,Adj Close,Volume
10/16/2015,2.539,2.539,2.364,2.442,2.44,418260
10/19/2015,2.473,2.497,2.412,2.485,2.49,52740
10/20/2015,2.497,2.606,2.485,2.594,2.59,155030
10/21/2015,2.709,2.752,2.709,2.752,2.75,185550
10/22/2015,2.873,2.873,2.752,2.83,2.83,287920
10/23/2015,2.909,2.909,2.691,2.691,2.69,23710
10/26/2015,2.624,2.691,2.558,2.576,2.58,137500
10/27/2015,2.606,2.606,2.533,2.533,2.53,47890
10/28/2015,2.539,2.588,2.509,2.545,2.55,65620
10/29/2015,2.545,2.545,2.473,2.473,2.47,20200
10/30/2015,2.43,2.467,2.388,2.388,2.39,59470
11/2/2015,2.442,2.442,2.333,2.37,2.37,12810
11/3/2015,2.333,2.418,2.267,2.388,2.39,13550
11/4/2015,2.382,2.388,2.321,2.364,2.36,32570
11/5/2015,2.321,2.364,2.303,2.364,2.36,541130
11/9/2015,2.642,2.721,2.564,2.721,2.72,304950
11/10/2015,2.788,2.867,2.77,2.776,2.78,39660
11/11/2015,2.848,2.848,2.77,2.77,2.77,10100
11/12/2015,2.764,2.885,2.758,2.879,2.88,114760
11/13/2015,2.879,2.964,2.794,2.909,2.91,71070
11/16/2015,2.988,3.018,2.903,2.952,2.95,15810
11/17/2015,2.964,2.964,2.879,2.879,2.88,10080
11/18/2015,2.939,2.939,2.836,2.897,2.9,45890
11/19/2015,2.921,2.921,2.836,2.897,2.9,9650
11/20/2015,2.848,2.909,2.848,2.848,2.85,7550
11/23/2015,2.939,2.939,2.745,2.745,2.75,1490
11/24/2015,2.824,2.891,2.788,2.855,2.86,9190
11/25/2015,2.842,2.982,2.776,2.982,2.98,55300
11/26/2015,2.903,3.024,2.903,3.006,3.01,14120
11/27/2015,2.921,2.994,2.885,2.909,2.91,3500
11/30/2015,2.994,2.994,2.988,2.994,2.99,440
12/1/2015,2.909,2.97,2.848,2.958,2.96,6100
12/2/2015,2.909,2.97,2.873,2.97,2.97,35710
12/3/2015,2.939,2.939,2.885,2.921,2.92,7330
12/4/2015,2.915,2.964,2.909,2.964,2.96,2080
12/7/2015,2.879,2.903,2.879,2.903,2.9,6200
12/8/2015,2.903,2.903,2.818,2.818,2.82,9330
12/9/2015,2.848,2.873,2.848,2.867,2.87,2190
12/10/2015,2.782,2.788,2.782,2.788,2.79,5310
12/11/2015,2.842,2.842,2.758,2.758,2.76,9210
12/14/2015,2.758,2.812,2.636,2.812,2.81,2320
12/15/2015,2.812,2.812,2.691,2.806,2.81,500
12/16/2015,2.812,2.812,2.727,2.727,2.73,10850
12/17/2015,2.703,2.782,2.691,2.727,2.73,30230
12/18/2015,2.727,2.727,2.667,2.727,2.73,3060
12/21/2015,2.667,2.788,2.667,2.727,2.73,36910
12/22/2015,2.727,2.727,2.648,2.721,2.72,22380
12/23/2015,2.721,2.794,2.655,2.764,2.76,21570
12/25/2015,2.727,2.727,2.691,2.727,2.73,3510
12/28/2015,2.727,2.727,2.667,2.667,2.67,51720
12/29/2015,2.667,2.667,2.594,2.667,2.67,18450
12/30/2015,2.667,2.667,2.588,2.588,2.59,12060
12/31/2015,2.521,2.727,2.521,2.727,2.73,26210
1/4/2016,2.8,2.891,2.727,2.794,2.79,46880
1/5/2016,2.848,2.964,2.842,2.964,2.96,135860
1/6/2016,3.042,3.139,3.042,3.133,3.13,116570
1/7/2016,3.206,3.206,3.055,3.061,3.06,18780
1/8/2016,3.121,3.121,2.988,2.988,2.99,58530
1/11/2016,3.03,3.061,2.964,3.03,3.03,66230
1/12/2016,3.061,3.091,2.988,3.042,3.04,14350
1/13/2016,3.042,3.091,3.03,3.091,3.09,19140
1/15/2016,3.091,3.279,3.091,3.279,3.28,57480
1/18/2016,3.37,3.376,3.248,3.248,3.25,26890
1/19/2016,3.212,3.242,3.121,3.242,3.24,67420
1/20/2016,3.158,3.297,3.158,3.273,3.27,45540
1/21/2016,3.333,3.455,3.333,3.406,3.41,174750
1/22/2016,3.406,3.406,3.261,3.273,3.27,42810
1/25/2016,3.212,3.442,3.212,3.406,3.41,14720
1/26/2016,3.406,3.406,3.333,3.406,3.41,12740
1/27/2016,3.4,3.455,3.333,3.455,3.46,6230
1/28/2016,3.455,3.558,3.394,3.394,3.39,17270
1/29/2016,3.491,3.533,3.424,3.509,3.51,26960
2/1/2016,3.509,3.509,3.406,3.406,3.41,46920
2/2/2016,3.4,3.455,3.327,3.418,3.42,22300
2/3/2016,3.333,3.418,3.321,3.37,3.37,8080
2/4/2016,3.442,3.442,3.339,3.388,3.39,12440
2/5/2016,3.333,3.455,3.309,3.455,3.46,87680
2/8/2016,3.364,3.424,3.352,3.424,3.42,3320
2/9/2016,3.339,3.4,3.339,3.345,3.35,6900
2/10/2016,3.345,3.345,3.248,3.248,3.25,20550
2/11/2016,3.242,3.242,3.145,3.145,3.15,42410
2/12/2016,3.23,3.23,3.091,3.176,3.18,18750
2/15/2016,3.224,3.224,3.218,3.224,3.22,4010
2/16/2016,3.206,3.297,3.133,3.291,3.29,7090
2/17/2016,3.291,3.291,3.152,3.212,3.21,22520
2/18/2016,3.273,3.273,3.176,3.206,3.21,1960
2/19/2016,3.267,3.267,3.17,3.17,3.17,1440
2/22/2016,3.152,3.152,3.061,3.091,3.09,43270
2/23/2016,3,3.073,2.915,2.915,2.92,24860
2/24/2016,2.939,3,2.909,2.939,2.94,6670
2/25/2016,2.939,3.115,2.939,3.115,3.12,5000
2/26/2016,3.176,3.176,3.103,3.158,3.16,1560
2/29/2016,3.176,3.176,3.103,3.152,3.15,480
3/1/2016,3.079,3.079,2.988,3.073,3.07,1200
3/2/2016,3.145,3.145,3.055,3.145,3.15,8680
3/3/2016,3.152,3.152,3.061,3.133,3.13,7460
3/4/2016,3.127,3.145,3.036,3.036,3.04,2640
3/7/2016,3.079,3.079,2.952,2.958,2.96,4560
3/8/2016,3,3,2.915,2.915,2.92,1530
3/9/2016,2.83,2.909,2.745,2.745,2.75,41390
3/10/2016,2.745,2.848,2.582,2.739,2.74,29340
3/11/2016,2.782,2.782,2.661,2.661,2.66,16460
3/14/2016,2.661,2.733,2.582,2.661,2.66,10040
3/15/2016,2.588,2.588,2.515,2.515,2.52,80180
3/16/2016,2.509,2.558,2.473,2.545,2.55,5900
3/17/2016,2.594,2.594,2.521,2.582,2.58,57740
3/18/2016,2.545,2.582,2.515,2.515,2.52,29220
3/21/2016,2.515,2.515,2.442,2.485,2.49,10640
3/22/2016,2.509,2.509,2.424,2.424,2.42,2680
3/23/2016,2.37,2.424,2.303,2.303,2.3,15240
3/24/2016,2.285,2.442,2.218,2.442,2.44,22910
3/25/2016,2.509,2.57,2.442,2.564,2.56,12100
3/28/2016,2.636,2.636,2.558,2.558,2.56,1820
3/29/2016,2.412,2.509,2.412,2.412,2.41,8740
3/30/2016,2.473,2.473,2.4,2.43,2.43,10440
3/31/2016,2.4,2.467,2.382,2.448,2.45,8600
4/1/2016,2.382,2.424,2.376,2.376,2.38,17950
4/4/2016,2.424,2.424,2.352,2.352,2.35,2820
4/5/2016,2.309,2.339,2.242,2.261,2.26,103090
4/6/2016,2.267,2.321,2.261,2.321,2.32,8040
4/7/2016,2.267,2.424,2.261,2.412,2.41,12130
4/8/2016,2.345,2.345,2.279,2.345,2.35,21220
4/11/2016,2.303,2.358,2.303,2.339,2.34,610
4/12/2016,2.303,2.358,2.303,2.352,2.35,15630
4/13/2016,2.4,2.4,2.333,2.364,2.36,30
4/14/2016,2.358,2.358,2.291,2.291,2.29,7590
4/15/2016,2.333,2.333,2.267,2.267,2.27,11510
4/18/2016,2.242,2.242,2.2,2.236,2.24,13980
4/19/2016,2.242,2.242,2.176,2.176,2.18,15480
4/20/2016,2.176,2.212,2.115,2.212,2.21,45200
4/21/2016,2.261,2.261,2.194,2.212,2.21,12210
4/22/2016,2.188,2.188,2.152,2.176,2.18,8380
4/25/2016,2.236,2.236,2.133,2.224,2.22,20
4/26/2016,2.127,2.224,2.127,2.182,2.18,6540
4/27/2016,2.218,2.218,2.218,2.218,2.22,270
4/28/2016,2.158,2.158,2.158,2.158,2.16,1410
4/29/2016,2.152,2.152,2.091,2.121,2.12,21620
5/2/2016,2.182,2.248,2.182,2.248,2.25,61900
5/3/2016,2.315,2.315,2.248,2.297,2.3,7820
5/4/2016,2.297,2.303,2.236,2.267,2.27,1690
5/5/2016,2.303,2.37,2.255,2.267,2.27,23630
5/6/2016,2.297,2.364,2.236,2.291,2.29,39250
5/9/2016,2.303,2.303,2.236,2.291,2.29,7730
5/10/2016,2.273,2.273,2.206,2.267,2.27,3890
5/11/2016,2.242,2.327,2.242,2.297,2.3,19290
5/12/2016,2.297,2.297,2.23,2.285,2.29,6730
5/13/2016,2.279,2.279,2.279,2.279,2.28,10
5/16/2016,2.212,2.261,2.212,2.242,2.24,4750
5/17/2016,2.176,2.255,2.176,2.248,2.25,9970
5/18/2016,2.248,2.279,2.248,2.261,2.26,3590
5/19/2016,2.279,2.279,2.212,2.212,2.21,24330
5/20/2016,2.23,2.23,2.164,2.218,2.22,25470
5/23/2016,2.212,2.23,2.164,2.23,2.23,5920
5/24/2016,2.188,2.23,2.164,2.23,2.23,7380
5/25/2016,2.236,2.236,2.17,2.218,2.22,2520
5/26/2016,2.261,2.267,2.194,2.194,2.19,8780
5/27/2016,2.182,2.242,2.176,2.242,2.24,36200
5/30/2016,2.309,2.358,2.242,2.255,2.21,11810
5/31/2016,2.291,2.291,2.255,2.261,2.21,3890
6/1/2016,2.327,2.394,2.279,2.394,2.34,24190
6/2/2016,2.448,2.521,2.448,2.521,2.47,11010
6/3/2016,2.606,2.642,2.533,2.533,2.48,162770
6/6/2016,2.418,2.485,2.352,2.455,2.41,37700
6/7/2016,2.485,2.485,2.412,2.412,2.36,3150
6/8/2016,2.345,2.345,2.345,2.345,2.3,8550
6/9/2016,2.412,2.473,2.412,2.412,2.36,140
6/10/2016,2.309,2.4,2.279,2.4,2.35,1240
6/13/2016,2.333,2.333,2.333,2.333,2.28,0
6/14/2016,2.303,2.364,2.267,2.267,2.22,2110
6/15/2016,2.333,2.364,2.333,2.358,2.31,1610
6/16/2016,2.358,2.358,2.291,2.291,2.24,1150
6/17/2016,2.333,2.358,2.273,2.358,2.31,2970
6/20/2016,2.412,2.461,2.406,2.424,2.37,71550
6/21/2016,2.455,2.455,2.382,2.382,2.33,12960
6/22/2016,2.424,2.467,2.333,2.461,2.41,5130
6/23/2016,2.467,2.467,2.394,2.467,2.42,8600
6/24/2016,2.455,2.461,2.394,2.394,2.34,10870
6/27/2016,2.424,2.424,2.418,2.424,2.37,9070
6/28/2016,2.352,2.455,2.297,2.455,2.41,7860
6/29/2016,2.455,2.455,2.455,2.455,2.41,10570
6/30/2016,2.442,2.448,2.382,2.43,2.38,12250
7/1/2016,2.358,2.424,2.358,2.424,2.37,6360
7/4/2016,2.455,2.455,2.382,2.442,2.39,2990
7/8/2016,2.37,2.442,2.37,2.442,2.39,940
7/11/2016,2.436,2.436,2.364,2.424,2.37,4740
7/12/2016,2.303,2.406,2.291,2.388,2.34,12690
7/13/2016,2.321,2.388,2.321,2.376,2.33,960
7/14/2016,2.424,2.424,2.424,2.424,2.37,0
7/18/2016,2.352,2.406,2.352,2.388,2.34,4400
7/19/2016,2.321,2.364,2.321,2.364,2.31,4080
7/20/2016,2.297,2.364,2.297,2.297,2.25,4540
7/21/2016,2.358,2.358,2.291,2.345,2.3,4290
7/22/2016,2.327,2.327,2.327,2.327,2.28,330
7/26/2016,2.273,2.315,2.261,2.273,2.22,5460
7/27/2016,2.273,2.273,2.273,2.273,2.22,1200
7/28/2016,2.242,2.242,2.206,2.242,2.19,11160
7/29/2016,2.23,2.242,2.23,2.242,2.19,1270
8/1/2016,2.242,2.309,2.242,2.309,2.26,830
8/2/2016,2.303,2.345,2.303,2.345,2.3,3310
8/3/2016,2.364,2.364,2.364,2.364,2.31,1650
8/4/2016,2.394,2.424,2.394,2.424,2.37,2590
8/5/2016,2.358,2.424,2.358,2.424,2.37,1700
8/10/2016,2.418,2.424,2.418,2.424,2.37,9280
8/11/2016,2.418,2.418,2.352,2.4,2.35,2440
8/17/2016,2.339,2.339,2.339,2.339,2.29,330
8/19/2016,2.339,2.339,2.339,2.339,2.29,490
8/22/2016,2.394,2.394,2.364,2.364,2.31,1320
8/23/2016,2.333,2.333,2.327,2.333,2.28,2750
8/24/2016,2.297,2.297,2.297,2.297,2.25,50
8/25/2016,2.242,2.303,2.212,2.242,2.19,14630
8/26/2016,2.212,2.242,2.182,2.242,2.19,14090
8/29/2016,2.176,2.176,2.176,2.176,2.13,6930
8/30/2016,2.212,2.212,2.176,2.212,2.16,980
8/31/2016,2.152,2.152,2.152,2.152,2.1,9350
9/1/2016,2.152,2.194,2.152,2.182,2.13,3500
9/2/2016,2.182,2.182,2.055,2.067,2.02,5210
9/5/2016,2.127,2.127,2.067,2.121,2.07,10510
9/6/2016,2.152,2.152,2.061,2.091,2.04,2560
9/7/2016,2.079,2.085,2,2,1.95,8740
9/8/2016,2.042,2.079,1.994,2.079,2.03,3570
9/15/2016,2.018,2.073,2.018,2.055,2.01,17640
9/16/2016,2.061,2.061,2,2.061,2.01,4960
9/19/2016,2.03,2.036,2,2.036,1.99,2390
9/20/2016,1.976,1.976,1.976,1.976,1.93,15860
9/21/2016,1.939,1.97,1.921,1.97,1.92,3630
9/22/2016,1.939,1.976,1.939,1.976,1.93,15240
9/23/2016,1.976,1.988,1.945,1.988,1.94,5450
9/26/2016,2.061,2.061,2,2.061,2.01,9950
9/27/2016,2.055,2.061,2.055,2.061,2.01,3010
9/28/2016,2.036,2.036,2.036,2.036,1.99,1080
9/29/2016,1.982,2.048,1.982,2,1.95,4210
9/30/2016,2.055,2.115,2.03,2.03,1.98,21080
10/4/2016,2.085,2.145,2.036,2.145,2.1,23700
10/5/2016,2.152,2.206,2.121,2.206,2.16,13760
10/6/2016,2.236,2.236,2.17,2.182,2.13,9980
10/7/2016,2.2,2.2,2.139,2.152,2.1,3860
10/10/2016,2.121,2.182,2.091,2.121,2.07,13480
10/11/2016,2.085,2.236,2.085,2.23,2.18,66420
10/12/2016,2.224,2.224,2.158,2.182,2.13,3680
10/13/2016,2.2,2.2,2.139,2.182,2.13,3450
10/14/2016,2.139,2.182,2.121,2.182,2.13,155350
10/17/2016,2.212,2.212,2.152,2.176,2.13,26510
10/18/2016,2.236,2.236,2.139,2.206,2.16,22210
10/19/2016,2.206,2.224,2.152,2.182,2.13,24630
10/20/2016,2.182,2.182,2.182,2.182,2.13,560
10/21/2016,2.182,2.182,2.152,2.182,2.13,7140
10/24/2016,2.139,2.182,2.121,2.182,2.13,26730
10/25/2016,2.176,2.176,2.133,2.164,2.11,11760
10/26/2016,2.133,2.17,2.121,2.17,2.12,13720
10/27/2016,2.182,2.267,2.121,2.267,2.22,131110
10/28/2016,2.291,2.352,2.285,2.285,2.24,53570
10/31/2016,2.339,2.339,2.273,2.273,2.22,740
11/1/2016,2.273,2.273,2.176,2.176,2.13,47880
11/2/2016,2.121,2.182,2.121,2.139,2.09,34520
11/3/2016,2.133,2.218,2.121,2.176,2.13,33810
11/4/2016,2.224,2.224,2.158,2.224,2.17,7460
11/7/2016,2.182,2.23,2.121,2.224,2.17,10560
11/8/2016,2.23,2.23,2.164,2.218,2.17,910
11/9/2016,2.158,2.212,2.158,2.158,2.11,7770
11/10/2016,2.212,2.212,2.115,2.158,2.11,29280
11/11/2016,2.115,2.152,2.115,2.152,2.1,31320
11/14/2016,2.2,2.2,2.109,2.109,2.06,7020
11/15/2016,2.121,2.212,2.103,2.182,2.13,125560
11/16/2016,2.212,2.212,2.152,2.152,2.1,3730
11/17/2016,2.188,2.188,2.127,2.158,2.11,45380
11/18/2016,2.152,2.242,2.133,2.242,2.19,78430
11/21/2016,3.69,3.84,3.61,3.82,3.77,92830
11/23/2016,2.436,2.436,2.333,2.333,2.28,242120
11/24/2016,2.345,2.345,2.279,2.345,2.3,98700
11/25/2016,2.345,2.364,2.279,2.285,2.24,42350
11/28/2016,2.303,2.315,2.279,2.303,2.25,20220
11/29/2016,2.303,2.339,2.297,2.303,2.25,1720
11/30/2016,2.327,2.345,2.273,2.327,2.28,12990
12/1/2016,2.339,2.339,2.303,2.327,2.28,4350
12/2/2016,2.327,2.364,2.309,2.309,2.26,11680
12/5/2016,2.327,2.333,2.303,2.315,2.27,5530
12/6/2016,2.303,2.303,2.291,2.291,2.24,2870
12/7/2016,2.261,2.285,2.261,2.279,2.23,2300
12/8/2016,2.261,2.267,2.212,2.267,2.22,4730
12/9/2016,2.267,2.327,2.267,2.327,2.28,12550
12/14/2016,2.394,2.394,2.303,2.303,2.25,14230
12/15/2016,2.303,2.303,2.242,2.291,2.24,9120
12/16/2016,2.348,2.409,2.28,2.311,2.26,8860
12/19/2016,2.333,2.348,2.265,2.341,2.29,3250
12/20/2016,2.371,2.371,2.318,2.318,2.27,1970
12/21/2016,2.273,2.311,2.273,2.273,2.22,630
12/22/2016,2.303,2.303,2.303,2.303,2.25,420
12/23/2016,2.318,2.318,2.212,2.318,2.27,24720
12/26/2016,2.311,2.348,2.311,2.326,2.28,68410
12/27/2016,2.318,2.348,2.318,2.318,2.27,358430
12/28/2016,2.364,2.364,2.311,2.318,2.27,279660
12/30/2016,2.333,2.348,2.311,2.348,2.3,37740
1/2/2017,2.371,2.371,2.348,2.348,2.3,420
1/3/2017,2.28,2.348,2.28,2.348,2.3,250
1/4/2017,2.303,2.333,2.28,2.318,2.27,13710
1/5/2017,2.318,2.318,2.25,2.311,2.26,990
1/6/2017,2.326,2.326,2.25,2.311,2.26,5450
1/9/2017,2.311,2.326,2.258,2.318,2.27,28520
1/10/2017,2.25,2.273,2.25,2.273,2.22,11150
1/11/2017,2.205,2.265,2.205,2.265,2.22,2150
1/12/2017,2.258,2.265,2.258,2.265,2.22,730
1/13/2017,2.205,2.265,2.205,2.265,2.22,1220
1/16/2017,2.258,2.265,2.205,2.265,2.22,1400
1/17/2017,2.212,2.318,2.212,2.295,2.25,13210
1/18/2017,2.235,2.288,2.227,2.288,2.24,16300
1/19/2017,2.227,2.28,2.22,2.235,2.19,5170
1/20/2017,2.288,2.288,2.227,2.273,2.22,4370
1/23/2017,2.288,2.288,2.22,2.258,2.21,2060
1/24/2017,2.197,2.288,2.197,2.212,2.16,1680
1/25/2017,2.265,2.265,2.205,2.235,2.19,8830
1/26/2017,2.273,2.273,2.205,2.242,2.19,6030
1/27/2017,2.258,2.258,2.197,2.235,2.19,9870
1/30/2017,2.227,2.227,2.227,2.227,2.18,640
1/31/2017,2.205,2.205,2.197,2.197,2.15,5720
2/1/2017,2.197,2.235,2.182,2.205,2.16,11870
2/2/2017,2.197,2.258,2.197,2.25,2.2,5740
2/3/2017,2.189,2.235,2.189,2.227,2.18,2890
2/6/2017,2.22,2.273,2.189,2.273,2.22,6260
2/7/2017,2.273,2.273,2.205,2.205,2.16,25050
2/8/2017,2.235,2.235,2.197,2.197,2.15,1790
2/9/2017,2.212,2.235,2.152,2.197,2.15,5040
2/10/2017,2.212,2.212,2.152,2.197,2.15,14750
2/13/2017,2.212,2.212,2.152,2.189,2.14,5300
2/14/2017,2.189,2.189,2.152,2.152,2.1,1140
2/15/2017,2.152,2.189,2.152,2.189,2.14,150
2/16/2017,2.144,2.174,2.144,2.167,2.12,5260
2/20/2017,2.106,2.152,2.106,2.152,2.1,1650
2/21/2017,2.091,2.182,2.091,2.152,2.1,15320
2/22/2017,2.091,2.159,2.091,2.152,2.1,3290
2/23/2017,2.091,2.136,2.091,2.136,2.09,10850
2/24/2017,2.136,2.136,2.091,2.114,2.06,6600
2/27/2017,2.174,2.174,2.114,2.167,2.12,3080
2/28/2017,2.106,2.121,2.045,2.121,2.07,6650
3/1/2017,2.121,2.121,2.061,2.114,2.06,4510
3/2/2017,2.106,2.106,2.045,2.045,2,7020
3/3/2017,2.045,2.045,1.992,2.045,2,8070
3/6/2017,2.045,2.106,2.045,2.045,2,6490
3/7/2017,2.083,2.083,2.023,2.045,2,7070
3/8/2017,2.068,2.068,2.038,2.038,1.99,53650
3/9/2017,2.061,2.061,2.045,2.045,2,600
3/10/2017,2.061,2.061,2.015,2.045,2,10
3/13/2017,2.061,2.061,2.008,2.008,1.96,200
3/14/2017,2.076,2.083,1.985,2.076,2.03,3460
3/15/2017,2.038,2.045,1.985,1.992,1.94,11440
3/16/2017,2.045,2.045,1.992,2.045,2,580
3/17/2017,2.038,2.038,2.038,2.038,1.99,160
3/21/2017,2.038,2.038,1.977,2.03,1.98,2360
3/22/2017,2.03,2.03,1.977,2.03,1.98,850
3/23/2017,1.977,2,1.97,1.985,1.94,5970
3/24/2017,2.03,2.03,1.97,1.977,1.93,3680
3/27/2017,2.023,2.023,2.023,2.023,1.97,140
3/28/2017,1.962,2.015,1.962,1.962,1.91,2840
3/29/2017,2.015,2.015,2.015,2.015,1.97,0
3/30/2017,2.015,2.015,1.962,1.962,1.91,5380
