Date,Open,High,Low,Close,Adj Close,Volume
6/5/2017,4.81,4.81,4.73,4.76,4.76,4730
6/6/2017,4.81,4.81,4.78,4.8,4.8,4780
6/7/2017,4.81,4.81,4.81,4.81,4.81,4810
6/8/2017,4.8,4.8,4.8,4.8,4.8,4800
6/9/2017,4.8,4.8,4.79,4.79,4.79,4790
6/12/2017,4.79,4.79,4.79,4.79,4.79,4790
6/13/2017,4.79,4.79,4.79,4.79,4.79,4790
6/15/2017,4.79,4.79,4.79,4.79,4.79,4790
6/16/2017,4.79,4.79,4.79,4.79,4.79,4790
6/20/2017,4.79,4.79,4.73,4.79,4.79,4730
6/21/2017,4.78,4.78,4.78,4.78,4.78,4780
6/22/2017,4.79,4.79,4.77,4.79,4.79,4770
6/23/2017,4.77,4.79,4.77,4.79,4.79,4770
6/28/2017,4.78,4.78,4.77,4.78,4.78,4770
6/29/2017,4.78,4.78,4.78,4.78,4.78,4780
7/3/2017,4.77,4.77,4.77,4.77,4.77,4770
7/4/2017,4.77,4.77,4.77,4.77,4.77,4770
7/5/2017,4.73,4.76,4.73,4.76,4.76,4730
7/6/2017,4.73,4.73,4.73,4.73,4.73,4730
7/7/2017,4.73,4.73,4.73,4.73,4.73,4730
7/10/2017,4.72,4.73,4.72,4.73,4.73,4720
7/17/2017,4.73,4.73,4.73,4.73,4.73,4730
7/18/2017,4.73,4.73,4.73,4.73,4.73,4730
7/19/2017,4.73,4.73,4.73,4.73,4.73,4730
7/20/2017,4.73,4.73,4.69,4.69,4.69,4690
7/21/2017,4.73,4.73,4.65,4.65,4.65,4650
7/24/2017,4.71,4.71,4.71,4.71,4.71,4710
7/26/2017,4.73,4.73,4.66,4.71,4.71,4660
7/27/2017,4.72,4.72,4.72,4.72,4.72,4720
7/28/2017,4.57,4.57,4.55,4.55,4.55,4550
7/31/2017,4.55,4.55,4.55,4.55,4.55,4550
8/1/2017,4.55,4.55,4.55,4.55,4.55,4550
8/4/2017,4.54,4.54,4.54,4.54,4.24,4540
8/9/2017,4.5,4.5,4.5,4.5,4.2,4500
8/10/2017,4.5,4.5,4.5,4.5,4.2,4500
8/11/2017,4.5,4.5,4.5,4.5,4.2,4500
8/14/2017,4.49,4.5,4.45,4.5,4.2,4450
8/15/2017,4.49,4.5,4.49,4.5,4.2,4490
8/16/2017,4.49,4.5,4.49,4.5,4.2,4490
8/17/2017,4.4,4.4,4.4,4.4,4.1,4400
8/18/2017,4.4,4.5,4.4,4.5,4.2,4400
8/22/2017,4.5,4.5,4.5,4.5,4.2,4500
8/28/2017,4.4,4.5,4.4,4.5,4.2,4400
8/30/2017,4.5,4.5,4.49,4.49,4.19,4490
8/31/2017,4.49,4.49,4.45,4.49,4.19,4450
9/4/2017,4.49,4.5,4.49,4.5,4.2,4490
9/5/2017,4.48,4.48,4.48,4.48,4.18,4480
9/6/2017,4.42,4.43,4.42,4.43,4.13,4420
9/7/2017,4.32,4.32,4.32,4.32,4.02,4320
9/8/2017,4.32,4.32,4.3,4.3,4,4300
9/11/2017,4.29,4.3,4.29,4.3,4,4290
9/12/2017,4.29,4.29,4.29,4.29,3.99,4290
9/13/2017,4.17,4.27,4.17,4.27,3.97,4170
9/14/2017,4.24,4.24,4.23,4.24,3.94,4230
9/15/2017,4.24,4.24,4.23,4.24,3.94,4230
9/18/2017,4.24,4.24,4.23,4.23,3.93,4230
9/19/2017,4.19,4.19,4.11,4.11,3.81,4110
9/20/2017,4.15,4.16,4.12,4.14,3.84,4120
9/22/2017,4.1,4.1,4.1,4.1,3.8,4100
9/26/2017,4.1,4.1,4.1,4.1,3.8,4100
10/6/2017,3.98,3.98,3.98,3.98,3.68,3980
10/11/2017,3.9,3.9,3.9,3.9,3.6,3900
10/18/2017,3.89,3.89,3.89,3.89,3.59,3890
10/19/2017,3.78,3.78,3.78,3.78,3.48,3780
10/20/2017,3.66,3.66,3.66,3.66,3.36,3660
10/23/2017,3.65,3.65,3.65,3.65,3.35,3650
10/24/2017,3.65,3.65,3.65,3.65,3.35,3650
10/25/2017,3.55,3.55,3.55,3.55,3.25,3550
10/27/2017,3.5,3.5,3.4,3.4,3.1,3400
10/30/2017,3.34,3.4,3.34,3.4,3.1,3340
10/31/2017,3.32,3.32,3.3,3.3,3,3300
11/2/2017,3.21,3.21,3.2,3.2,2.9,3200
11/3/2017,3.15,3.15,3.15,3.15,2.85,3150
11/6/2017,3.1,3.1,3.06,3.06,2.76,3060
11/7/2017,3,3,2.91,3,2.7,2910
11/8/2017,2.91,2.99,2.91,2.99,2.69,2910
11/13/2017,2.91,2.91,2.91,2.91,2.61,2910
11/14/2017,2.9,2.9,2.83,2.83,2.53,2830
11/15/2017,2.82,2.82,2.75,2.75,2.45,2750
11/16/2017,2.73,2.73,2.65,2.65,2.35,2650
11/17/2017,2.58,2.58,2.51,2.51,2.21,2510
11/20/2017,2.47,2.47,2.4,2.4,2.1,2400
11/21/2017,2.4,2.47,2.39,2.47,2.17,2390
11/22/2017,2.54,2.61,2.47,2.61,2.31,2470
11/23/2017,2.68,2.74,2.6,2.7,2.4,2600
11/24/2017,2.74,2.74,2.66,2.66,2.36,2660
11/28/2017,2.5,2.55,2.43,2.54,2.24,2430
11/29/2017,2.55,2.55,2.55,2.55,2.25,2550
11/30/2017,2.54,2.61,2.5,2.6,2.3,2500
12/4/2017,2.6,2.62,2.53,2.53,2.23,2530
12/5/2017,2.55,2.55,2.52,2.53,2.23,2520
12/6/2017,2.54,2.54,2.47,2.5,2.2,2470
12/7/2017,2.45,2.49,2.44,2.49,2.19,2440
12/8/2017,2.42,2.52,2.42,2.43,2.13,2420
12/11/2017,2.41,2.5,2.38,2.4,2.1,2380
12/12/2017,2.47,2.47,2.38,2.44,2.14,2380
12/13/2017,2.37,2.39,2.37,2.38,2.08,2370
12/14/2017,2.48,2.48,2.48,2.48,2.18,2480
12/15/2017,2.5,2.5,2.5,2.5,2.2,2500
12/18/2017,2.43,2.43,2.43,2.43,2.13,2430
12/19/2017,2.5,2.5,2.5,2.5,2.2,2500
12/20/2017,2.49,2.49,2.43,2.48,2.18,2430
