Date,Open,High,Low,Close,Adj Close,Volume
12/8/2014,3.34,3.4,3.34,3.34,3.34,3070
12/9/2014,3.31,3.34,3.25,3.26,3.26,7330
12/10/2014,3.34,3.37,3.24,3.34,3.34,4080
12/11/2014,3.33,3.38,3.28,3.38,3.38,6580
12/12/2014,3.28,3.4,3.28,3.4,3.4,2780
12/15/2014,3.42,3.46,3.3,3.46,3.46,44030
12/16/2014,3.46,3.46,3.36,3.44,3.44,260
12/17/2014,3.47,3.47,3.47,3.47,3.47,100
12/18/2014,3.37,3.45,3.37,3.41,3.41,8420
12/19/2014,3.41,3.45,3.38,3.45,3.45,5220
12/22/2014,3.47,3.57,3.46,3.46,3.46,6550
12/23/2014,3.46,3.46,3.4,3.4,3.4,6010
12/24/2014,3.4,3.41,3.33,3.41,3.41,1700
12/25/2014,3.41,3.42,3.33,3.42,3.42,70
12/26/2014,3.42,3.42,3.42,3.42,3.42,80
12/29/2014,3.42,3.42,3.32,3.42,3.42,2060
12/30/2014,3.41,3.49,3.32,3.47,3.47,14980
12/31/2014,3.46,3.47,3.36,3.45,3.45,46240
1/2/2015,3.48,3.48,3.38,3.47,3.47,1080
1/5/2015,3.3,3.42,3.3,3.42,3.42,220
1/6/2015,3.42,3.42,3.42,3.42,3.42,20
1/7/2015,3.33,3.42,3.33,3.42,3.42,20
1/9/2015,3.41,3.42,3.35,3.4,3.4,19090
1/12/2015,3.4,3.4,3.3,3.38,3.38,1870
1/13/2015,3.38,3.38,3.23,3.34,3.34,4050
1/15/2015,3.41,3.41,3.33,3.33,3.33,70
1/16/2015,3.33,3.33,3.24,3.3,3.3,1910
1/19/2015,3.3,3.3,3.21,3.3,3.3,6450
1/20/2015,3.21,3.3,3.21,3.3,3.3,380
1/23/2015,3.21,3.29,3.21,3.29,3.29,12530
1/26/2015,3.2,3.2,3.2,3.2,3.2,1410
1/27/2015,3.28,3.28,3.19,3.2,3.2,1400
1/29/2015,3.14,3.23,3.05,3.06,3.06,9740
1/30/2015,2.97,3.14,2.97,3.06,3.06,8120
2/2/2015,3.19,3.19,3,3.1,3.1,2940
2/3/2015,3.01,3.07,3.01,3.07,3.07,1040
