Date,Open,High,Low,Close,Adj Close,Volume
12/8/2014,1.78,1.78,1.73,1.74,1.64,5220
12/9/2014,1.71,1.73,1.69,1.73,1.63,1840
12/10/2014,1.74,1.74,1.7,1.72,1.62,1080
12/11/2014,1.74,1.74,1.72,1.72,1.62,100
12/12/2014,1.74,1.74,1.69,1.74,1.64,660
12/15/2014,1.74,1.75,1.69,1.74,1.64,6550
12/16/2014,1.75,1.78,1.7,1.74,1.64,27560
12/17/2014,1.76,1.78,1.76,1.76,1.66,1900
12/18/2014,1.78,1.82,1.73,1.82,1.72,4510
12/19/2014,1.82,1.82,1.8,1.81,1.71,1970
12/22/2014,1.82,1.84,1.82,1.83,1.73,5110
12/23/2014,1.82,1.82,1.8,1.8,1.7,4910
12/24/2014,1.81,1.81,1.81,1.81,1.71,300
12/26/2014,1.81,1.81,1.81,1.81,1.71,20
12/29/2014,1.81,1.81,1.81,1.81,1.71,20
12/31/2014,1.8,1.8,1.76,1.76,1.66,550
1/2/2015,1.8,1.8,1.8,1.8,1.7,10
1/5/2015,1.78,1.79,1.78,1.79,1.69,100
1/7/2015,1.78,1.78,1.72,1.72,1.62,3220
1/8/2015,1.72,1.72,1.7,1.71,1.61,820
1/9/2015,1.67,1.76,1.66,1.76,1.66,3950
1/12/2015,1.79,1.79,1.79,1.79,1.69,20
1/16/2015,1.75,1.78,1.75,1.78,1.68,120
1/19/2015,1.77,1.78,1.77,1.78,1.68,910
1/21/2015,1.73,1.77,1.73,1.77,1.67,3300
1/22/2015,1.79,1.79,1.74,1.77,1.67,1260
1/26/2015,1.76,1.77,1.72,1.77,1.67,740
1/28/2015,1.77,1.77,1.75,1.75,1.65,400
1/29/2015,1.76,1.76,1.74,1.74,1.64,170
1/30/2015,1.77,1.77,1.72,1.72,1.62,210
2/2/2015,1.74,1.79,1.74,1.79,1.69,2450
2/3/2015,1.8,1.8,1.75,1.78,1.68,530
2/4/2015,1.8,1.8,1.75,1.78,1.68,1130
2/5/2015,1.75,1.77,1.75,1.77,1.67,5990
2/6/2015,1.75,1.82,1.72,1.82,1.72,42420
2/9/2015,1.81,1.85,1.78,1.84,1.74,16100
2/10/2015,1.84,1.84,1.8,1.82,1.72,10830
2/11/2015,1.82,1.84,1.82,1.82,1.72,610
2/12/2015,1.83,1.83,1.8,1.82,1.72,1480
2/13/2015,1.83,1.83,1.83,1.83,1.73,100
2/17/2015,1.78,1.82,1.78,1.82,1.72,120
2/18/2015,1.8,1.82,1.78,1.82,1.72,2050
2/19/2015,1.81,1.82,1.81,1.82,1.72,320
2/23/2015,1.81,1.82,1.81,1.82,1.72,320
2/24/2015,1.82,1.82,1.82,1.82,1.72,0
2/25/2015,1.82,1.82,1.82,1.82,1.72,10
2/26/2015,1.8,1.82,1.8,1.82,1.72,700
2/27/2015,1.77,1.82,1.72,1.82,1.72,13540
3/3/2015,1.77,1.8,1.77,1.8,1.7,5040
3/4/2015,1.78,1.81,1.78,1.81,1.71,3200
3/5/2015,1.78,1.8,1.78,1.8,1.7,20
3/6/2015,1.8,1.81,1.75,1.81,1.71,220
3/11/2015,1.79,1.79,1.79,1.79,1.69,500
3/12/2015,1.78,1.78,1.78,1.78,1.68,1620
3/13/2015,1.79,1.79,1.79,1.79,1.69,10
3/16/2015,1.79,1.79,1.75,1.75,1.65,130
3/17/2015,1.75,1.79,1.75,1.79,1.69,10670
3/18/2015,1.8,1.8,1.79,1.79,1.69,6920
3/19/2015,1.79,1.82,1.79,1.82,1.72,5750
3/23/2015,1.81,1.82,1.81,1.82,1.72,6000
3/25/2015,1.8,1.81,1.8,1.81,1.71,1060
3/26/2015,1.82,1.82,1.82,1.82,1.72,200
3/30/2015,1.81,1.82,1.81,1.82,1.72,150
4/2/2015,1.82,1.82,1.82,1.82,1.72,200
4/3/2015,1.8,1.82,1.77,1.82,1.72,770
4/7/2015,1.82,1.82,1.82,1.82,1.72,80
4/8/2015,1.82,1.82,1.8,1.8,1.7,1150
4/10/2015,1.82,1.82,1.75,1.82,1.72,2160
4/13/2015,1.77,1.82,1.77,1.82,1.72,250
4/14/2015,1.8,1.82,1.8,1.82,1.72,10100
4/15/2015,1.82,1.82,1.8,1.82,1.72,20280
4/16/2015,1.82,1.83,1.81,1.82,1.72,21910
4/17/2015,1.85,1.85,1.8,1.84,1.74,30650
4/20/2015,1.85,1.85,1.84,1.85,1.75,14200
4/21/2015,1.85,1.85,1.81,1.85,1.75,18110
4/22/2015,1.81,1.9,1.81,1.9,1.8,76930
4/23/2015,1.9,1.9,1.85,1.9,1.8,5140
4/24/2015,1.9,1.94,1.85,1.94,1.84,12190
4/27/2015,1.93,1.93,1.93,1.93,1.83,1710
4/28/2015,1.94,1.94,1.9,1.9,1.8,7590
4/29/2015,1.86,1.9,1.85,1.9,1.8,23100
4/30/2015,1.9,1.93,1.85,1.92,1.82,5780
5/4/2015,1.9,1.9,1.9,1.9,1.8,100
5/5/2015,1.9,1.9,1.87,1.9,1.8,1200
5/6/2015,1.86,1.93,1.86,1.93,1.83,7800
5/7/2015,1.93,1.94,1.9,1.93,1.83,2930
