Date	Close	Open	High	Low	Volume	Adj Close
12/8/2014	21	21	21	21	80	19.8
12/9/2014	21.39	21.39	21.39	21	30	20.19
12/10/2014	21.35	20.82	21.35	20.82	40	20.15
12/11/2014	21.39	20.81	21.39	20.81	10	20.19
12/12/2014	20.8	20.81	20.81	20.8	850	19.6
12/16/2014	21.42	21.4	21.42	20.76	2560	20.22
12/17/2014	21.42	21.41	21.5	21.41	1840	20.22
12/18/2014	22.72	21.42	22.72	21.42	2810	21.52
12/19/2014	24.1	22.99	24.1	22.99	3370	22.9
12/22/2014	25.56	24.5	25.56	24.15	9550	24.36
12/23/2014	27.11	26	27.11	25.9	5700	25.91
12/24/2014	28.76	27.4	28.76	27.12	17730	27.56
12/25/2014	28.7	29.5	29.5	28.64	12700	27.5
12/26/2014	28.4	28.22	28.7	28.2	3220	27.2
12/29/2014	28.4	28.5	28.5	27.85	380	27.2
12/30/2014	27.55	28.19	28.19	27.55	790	26.35
12/31/2014	26.32	26.32	27.5	26.32	2280	25.12
1/5/2015	27.79	26.99	27.79	26.98	400	26.59
1/6/2015	27.78	27.78	27.79	27.78	250	26.58
1/7/2015	27.75	27.74	27.75	27.7	500	26.55
1/8/2015	27.74	27.7	27.74	27.7	390	26.54
1/9/2015	26.5	26.5	26.51	26.5	980	25.3
1/12/2015	27.29	26.98	27.29	26.9	1110	26.09
1/15/2015	26.48	26.5	26.5	26.48	2650	25.28
1/16/2015	26.2	27.09	27.2	25.7	1310	25
1/19/2015	25.6	26.2	26.2	25.6	1680	24.4
1/20/2015	26.32	25.55	26.32	24.84	2230	25.12
1/21/2015	26.29	26.29	26.29	26.29	50	25.09
1/22/2015	26.1	26.09	26.1	26.09	200	24.9
1/23/2015	26.32	25.33	26.32	25.32	1710	25.12
1/26/2015	26.28	26.3	26.3	25.54	2520	25.08
1/28/2015	26	26	26	26	150	24.8
1/29/2015	25.98	24.78	25.99	24.78	1580	24.78
1/30/2015	25.21	25.21	25.21	25.21	10	24.01
2/2/2015	25	25.21	25.21	25	60	23.8
2/3/2015	25.75	25.75	25.75	24.78	430	24.55
2/5/2015	23.51	23.51	23.52	23.51	400	22.31
2/6/2015	23.6	23.6	23.62	23.6	160	22.4
2/9/2015	23.21	23.21	23.4	23.21	6530	22.01
2/10/2015	22.52	23.21	23.21	22.52	200	21.32
2/11/2015	22.52	22.52	22.52	22.51	230	21.32
2/12/2015	23.19	23.19	23.19	23.19	320	21.99
2/13/2015	22.52	23.19	23.19	22.5	1730	21.32
2/16/2015	23.19	22.52	23.19	22.52	920	21.99
2/17/2015	23.88	23.87	23.88	23.87	210	22.68
2/18/2015	23.86	23.89	23.9	23.86	160	22.66
2/19/2015	24	23.99	24	23.99	200	22.8
2/24/2015	23.89	23.89	23.89	23.89	10	22.69
2/25/2015	24.6	23.89	24.6	23.89	450	23.4
2/26/2015	26.06	24.6	26.06	24	4660	24.86
2/27/2015	27	26.7	27.23	26	3290	25.8
3/2/2015	27.49	27.49	27.49	27.49	300	26.29
3/3/2015	27.1	27.1	27.1	27.1	50	25.9
3/4/2015	27.45	27.1	27.45	27.1	300	26.25
3/5/2015	26	26.63	26.63	26	170	24.8
3/6/2015	26.75	26.75	26.75	26.75	0	25.55
3/9/2015	25.95	25.96	25.96	25.95	230	24.75
3/10/2015	25.95	25.95	25.95	25.95	300	24.75
3/11/2015	25.81	25.81	25.81	25.81	40	24.61
3/12/2015	26.58	26	26.58	26	720	25.38
3/16/2015	26.49	25.79	26.49	25.79	1710	25.29
3/17/2015	26.49	26.49	26.49	26.49	80	25.29
3/18/2015	25.8	26.49	26.49	25.7	3000	24.6
3/23/2015	25.22	26	26	25.22	740	24.02
3/24/2015	24.13	25.03	25.03	24.13	110	22.93
3/25/2015	25.53	24.79	25.53	24.28	210	24.33
3/26/2015	25.97	25.53	25.97	25.53	170	24.77
3/27/2015	26.74	25.97	26.74	25.97	480	25.54
3/30/2015	26.68	26.2	26.68	26.2	880	25.48
3/31/2015	26.7	26.7	26.7	26.7	520	25.5
4/1/2015	26.5	26.7	26.7	26.35	770	25.3
4/2/2015	25.71	25.71	25.71	25.71	370	24.51
4/3/2015	25	25.6	25.6	25	150	23.8
4/6/2015	25.74	25	25.74	25	520	24.54
4/7/2015	26.33	25.99	26.33	25.99	200	25.13
4/8/2015	26.33	26.33	26.33	26.33	70	25.13
4/10/2015	26.33	26.3	26.33	26.3	100	25.13
4/14/2015	26	25.55	26	25.55	100	24.8
4/16/2015	25.98	25.98	25.98	25.98	100	24.78
4/21/2015	25.97	25.9	25.98	25.9	300	24.77
4/22/2015	25.2	25.2	25.2	25.2	380	24
4/23/2015	25.3	25.3	25.3	25.3	30	24.1
4/24/2015	25.3	25.3	25.3	25.3	10	24.1
4/27/2015	25	24.99	25.7	24.97	2300	23.8
4/28/2015	25.69	25.69	25.69	25.69	30	24.49
5/4/2015	26.46	25.68	26.46	25.68	2370	25.26
5/5/2015	27.24	26.5	27.24	26.5	140	26.04
5/6/2015	27.26	27.25	27.26	27.24	5460	26.06
5/7/2015	28	27	28	27	1240	26.8
5/8/2015	28.65	28	28.65	28	4900	27.45
5/11/2015	29.1	28.63	29.1	27.78	25070	27.9
5/12/2015	29.09	29.34	29.34	28.47	4710	27.89
5/15/2015	28.45	28.45	28.45	28.45	770	27.25
5/19/2015	28.49	27.65	28.49	27.64	50	27.29
5/20/2015	27.6	27.6	28.41	27.6	710	26.4
5/21/2015	27.6	28.29	28.29	27.6	520	26.4
5/22/2015	28.14	28.14	28.14	28.14	160	26.94
5/25/2015	27.4	28	28	27.4	340	26.2
5/26/2015	27.4	27.4	27.4	27.4	40	26.2
5/27/2015	27.45	27.45	27.45	27.45	1600	26.25
5/28/2015	27.35	27.35	27.35	27.35	1610	26.15
5/29/2015	27.3	27.3	27.3	27.3	170	26.1
6/2/2015	27.9	27.1	27.9	27.1	260	26.7
6/3/2015	27.2	27.48	27.48	27.2	130	26
6/4/2015	27	27	27	27	100	25.8
6/8/2015	27.2	26.49	27.2	26.19	1300	26
6/9/2015	26.7	27.28	27.28	26.7	110	25.5
6/10/2015	27.1	27.1	27.1	27.1	100	25.9
6/12/2015	26.98	26.29	26.98	26.29	230	25.78
6/16/2015	26.98	26.98	26.98	26.98	0	25.78
