Date,Open,High,Low,Close,Adj Close,Volume
12/8/2014,4.25,4.28,4.25,4.25,4.03,1430
12/9/2014,4.26,4.29,4.26,4.29,4.07,1500
12/10/2014,4.3,4.34,4.28,4.33,4.11,2580
12/11/2014,4.32,4.32,4.28,4.29,4.07,4380
12/12/2014,4.28,4.32,4.28,4.32,4.1,3650
12/15/2014,4.3,4.35,4.25,4.3,4.08,16420
12/16/2014,4.34,4.37,4.34,4.35,4.13,3750
12/17/2014,4.35,4.35,4.29,4.29,4.07,13400
12/18/2014,4.3,4.34,4.29,4.3,4.08,13460
12/19/2014,4.34,4.38,4.3,4.3,4.08,24620
12/22/2014,4.4,4.48,4.4,4.4,4.18,9490
12/23/2014,4.4,4.4,4.35,4.35,4.13,1560
12/24/2014,4.35,4.35,4.3,4.35,4.13,1460
12/25/2014,4.3,4.4,4.3,4.39,4.17,3280
12/26/2014,4.38,4.38,4.35,4.35,4.13,3870
12/29/2014,4.32,4.34,4.32,4.33,4.11,1950
12/30/2014,4.32,4.33,4.28,4.32,4.1,2650
12/31/2014,4.36,4.36,4.3,4.3,4.08,2090
1/2/2015,4.29,4.34,4.29,4.34,4.12,5280
1/5/2015,4.29,4.34,4.21,4.26,4.04,17910
1/6/2015,4.21,4.33,4.21,4.33,4.11,9250
1/7/2015,4.35,4.35,4.24,4.3,4.08,11400
1/8/2015,4.22,4.33,4.21,4.25,4.03,7640
1/9/2015,4.22,4.24,4.2,4.21,3.99,19330
1/12/2015,4.19,4.25,4.19,4.2,3.98,7370
1/13/2015,4.2,4.27,4.2,4.27,4.05,2080
1/15/2015,4.24,4.24,4.18,4.18,3.96,9860
1/16/2015,4.18,4.2,4.18,4.18,3.96,10070
1/19/2015,4.18,4.21,4.17,4.21,3.99,5530
1/20/2015,4.2,4.21,4.15,4.2,3.98,7250
1/21/2015,4.2,4.2,4.17,4.2,3.98,8590
1/22/2015,4.19,4.19,4.17,4.19,3.97,6240
1/23/2015,4.2,4.21,4.18,4.21,3.99,5470
1/26/2015,4.19,4.25,4.18,4.25,4.03,4590
1/27/2015,4.2,4.25,4.2,4.2,3.98,6270
1/28/2015,4.18,4.25,4.18,4.24,4.02,2390
1/29/2015,4.24,4.24,4.19,4.22,4,7180
1/30/2015,4.18,4.2,4.18,4.2,3.98,4470
2/2/2015,4.2,4.2,4.17,4.2,3.98,6860
2/3/2015,4.2,4.2,4.17,4.19,3.97,3050
2/4/2015,4.16,4.16,4.15,4.15,3.93,6130
2/5/2015,4.15,4.15,4.13,4.15,3.93,13380
2/6/2015,4.15,4.2,4.15,4.2,3.98,50370
2/9/2015,4.2,4.24,4.2,4.2,3.98,290
2/10/2015,4.2,4.2,4.16,4.17,3.95,5380
2/11/2015,4.17,4.19,4.16,4.18,3.96,4780
2/12/2015,4.18,4.2,4.18,4.2,3.98,7790
2/13/2015,4.18,4.2,4.13,4.16,3.94,10150
2/16/2015,4.16,4.16,4.16,4.16,3.94,2280
2/17/2015,4.2,4.24,4.16,4.2,3.98,17730
2/18/2015,4.16,4.25,4.16,4.2,3.98,6790
2/19/2015,4.24,4.24,4.17,4.17,3.95,4740
2/20/2015,4.17,4.18,4.15,4.16,3.94,18300
2/23/2015,4.15,4.18,4.15,4.18,3.96,10540
2/24/2015,4.18,4.2,4.18,4.18,3.96,6090
2/25/2015,4.18,4.18,4.15,4.15,3.93,21860
2/26/2015,4.15,4.15,4.13,4.14,3.92,9550
2/27/2015,4.14,4.15,4.13,4.13,3.91,9370
3/2/2015,4.11,4.2,4.11,4.19,3.97,8230
3/3/2015,4.13,4.14,4.11,4.12,3.9,8390
3/4/2015,4.12,4.18,4.1,4.18,3.96,5970
3/5/2015,4.15,4.15,4.07,4.1,3.88,9820
3/6/2015,4.1,4.18,4.09,4.14,3.92,1900
3/9/2015,4.08,4.15,4.08,4.15,3.93,2170
