Date,Open,High,Low,Close,Adj Close,Volume
5/3/2016,13.6,13.6,13.6,13.6,13.29,474138
5/4/2016,13.9,13.9,13.6,13.75,13.44,114549
5/5/2016,13.76,14.17,13.76,13.99,13.68,107903
5/8/2016,14,14.04,13.8,13.8,13.49,49626
5/9/2016,13.69,13.7,13.4,13.5,13.19,21323
5/10/2016,13.5,13.5,13.1,13.21,12.9,36974
5/11/2016,13.16,13.31,13.01,13.08,12.77,33777
5/12/2016,13.25,13.29,13.04,13.11,12.8,8491
5/15/2016,13.11,13.19,13,13.19,12.88,20311
5/16/2016,13.15,13.15,12.93,13.1,12.79,18790
5/17/2016,13.1,13.1,12.96,12.97,12.66,21828
5/18/2016,12.87,12.97,12.87,12.91,12.6,3495
5/19/2016,12.9,13.1,12.88,13,12.69,14477
5/22/2016,12.91,13,12.91,12.99,12.68,1235
5/23/2016,12.95,12.99,12.9,12.99,12.68,3031
5/24/2016,12.9,13.1,12.85,13.09,12.78,12143
5/25/2016,13.1,13.1,12.95,13,12.69,4030
5/26/2016,13,13,12.92,12.99,12.68,2886
5/29/2016,12.96,12.98,12.86,12.86,12.55,5743
5/30/2016,12.86,12.86,12.7,12.8,12.49,7074
5/31/2016,12.79,13.1,12.79,13.09,12.78,31027
6/1/2016,13.09,13.35,12.91,13.15,12.84,19630
6/2/2016,13.29,13.29,12.9,12.95,12.64,3621
6/5/2016,12.9,12.9,12.87,12.87,12.56,2065
6/6/2016,13,13,12.85,12.98,12.67,3130
6/7/2016,12.98,12.98,12.6,12.8,12.49,9419
6/8/2016,12.89,12.89,12.7,12.73,12.42,1278
6/9/2016,12.68,12.85,12.51,12.78,12.47,8402
6/12/2016,12.78,12.78,12.5,12.73,12.42,11360
6/13/2016,12.7,12.72,12.55,12.7,12.39,9148
6/14/2016,12.62,12.69,12.35,12.5,12.19,11382
6/15/2016,12.7,12.7,12.35,12.52,12.21,1628
6/16/2016,12.5,12.59,12.41,12.5,12.19,14501
6/19/2016,12.32,12.6,12.32,12.5,12.19,4369
6/20/2016,12.3,12.65,12.3,12.5,12.19,11546
6/21/2016,12.3,12.5,12.2,12.4,12.09,612
6/22/2016,12.2,12.39,12.19,12.39,12.08,7835
6/23/2016,12.38,12.4,12.13,12.37,12.06,1821
6/26/2016,12.13,12.13,12.12,12.13,11.82,1286
6/27/2016,12.13,12.13,11.77,12,11.69,27019
6/28/2016,11.96,11.96,11.75,11.9,11.59,12772
6/29/2016,11.9,11.9,11.65,11.55,11.24,3948
6/30/2016,11.88,11.88,11.66,11.78,11.47,3138
7/3/2016,11.8,11.8,11.61,11.79,11.48,1985
7/7/2016,11.78,11.78,11.78,11.78,11.47,200
7/10/2016,11.5,11.84,11.44,11.78,11.47,6994
7/11/2016,11.84,11.89,11.78,11.85,11.54,3066
7/12/2016,11.85,11.85,11.62,11.84,11.53,3001
7/13/2016,11.98,11.98,11.85,11.85,11.54,1369
7/14/2016,11.8,11.8,11.5,11.79,11.48,1995
7/17/2016,11.79,11.92,11.79,11.92,11.61,863
7/18/2016,11.92,11.92,11.85,11.85,11.54,1256
7/19/2016,11.9,11.9,11.8,11.89,11.58,706
7/20/2016,11.88,11.88,11.53,11.8,11.49,4888
7/25/2016,9.98,10.27,9.98,10.27,9.96,428
7/26/2016,10.27,10.45,10.24,10.45,10.14,100846
7/27/2016,10.45,10.45,10.14,10.4,10.09,2047
7/28/2016,10.1,10.3,10.1,10.28,9.97,787
7/31/2016,10.2,10.3,10.2,10.3,9.99,6895
8/1/2016,10.2,10.2,10.2,10.2,9.89,9222
8/2/2016,10.2,10.39,10.2,10.39,10.08,1150
8/3/2016,10.3,10.39,10.1,10.38,10.07,490
8/4/2016,10.1,10.38,10.1,10.38,10.07,348
8/7/2016,10.3,10.3,10.1,10.1,9.79,279
8/8/2016,10.3,10.3,10.1,10.3,9.99,7361
8/9/2016,10.3,10.38,10.3,10.38,10.07,897
8/10/2016,10.28,10.28,10.1,10.11,9.8,87
8/11/2016,10.1,10.11,10.1,10.11,9.8,4588
8/14/2016,10.24,10.25,10,10.25,9.94,684
8/15/2016,10.25,10.25,10,10.24,9.93,50025
8/16/2016,10.01,10.2,10,10.2,9.89,235
8/17/2016,9.95,10.24,9.95,10.24,9.93,8342
8/18/2016,10.3,10.3,10,10,9.69,645
8/21/2016,10.2,10.38,10,10.38,10.07,780
8/22/2016,0,0,0,10.38,10.07,0
8/23/2016,10.34,10.34,10.07,10.3,9.99,1657
8/24/2016,10,10.2,10,10.2,9.89,883
8/25/2016,10,10.33,10,10.33,10.02,13200
8/28/2016,10.03,10.03,10.01,10.01,9.7,1643
8/29/2016,10.1,10.1,10,10.1,9.79,5868
8/30/2016,10.1,10.1,10.09,10.09,9.78,82
8/31/2016,10.1,10.3,10.1,10.3,9.99,11067
9/1/2016,10.28,10.29,10.11,10.11,9.8,4363
9/4/2016,10.1,10.28,10.1,10.28,9.97,4273
9/5/2016,10.22,10.24,10.22,10.24,9.93,96
9/6/2016,10.25,10.25,10.01,10.01,9.7,937
9/7/2016,10.05,10.06,10.05,10.06,9.75,37
9/8/2016,10.03,10.17,10.03,10.03,9.72,2672
9/13/2016,10.01,10.1,10.01,10.1,9.79,868
9/14/2016,10.01,10.01,9.81,9.81,9.5,2674
