Date,Open,High,Low,Close,Adj Close,Volume
12/8/2014,25.44,25.44,25.2,25.44,25.44,360
12/9/2014,25.43,25.43,25.43,25.43,25.43,220
12/10/2014,25.43,25.43,25.01,25.11,25.11,930
12/11/2014,25.42,25.42,25.39,25.39,25.39,220
12/12/2014,25.34,25.34,25.06,25.3,25.3,300
12/15/2014,25.3,25.3,25.16,25.17,25.17,340
12/16/2014,25.19,25.19,24.96,24.96,24.96,610
12/17/2014,24.96,24.96,24.96,24.96,24.96,1840
12/18/2014,25.16,25.24,24.96,24.96,24.96,460
12/19/2014,25.06,25.3,24.96,25.25,25.25,4040
12/22/2014,25.44,25.44,25.15,25.15,25.15,1060
12/23/2014,25.15,25.15,24.96,24.96,24.96,3740
12/24/2014,25.14,25.14,24.73,24.96,24.96,720
12/25/2014,24.86,24.93,24.77,24.77,24.77,930
12/26/2014,24.85,24.86,24.53,24.77,24.77,2600
12/29/2014,24.77,25.2,24.77,24.96,24.96,8670
12/30/2014,24.97,25.25,24.79,24.95,24.95,8050
12/31/2014,24.86,25.14,24.82,25.14,25.14,2030
1/2/2015,24.96,25.25,24.96,24.96,24.96,1250
1/5/2015,25.25,25.25,24.96,25.25,25.25,1170
1/6/2015,24.96,24.96,24.73,24.96,24.96,560
1/7/2015,24.96,24.96,24.58,24.96,24.96,240
1/8/2015,24.96,24.96,24.72,24.93,24.93,770
1/9/2015,24.93,24.93,24.48,24.58,24.58,720
1/12/2015,24.75,24.94,24.67,24.94,24.94,350
1/13/2015,24.86,24.94,24.86,24.94,24.94,150
1/15/2015,24.94,24.94,24.82,24.93,24.93,250
1/16/2015,24.9,24.9,24.77,24.77,24.77,530
1/19/2015,24.77,24.77,24.48,24.61,24.61,1220
1/20/2015,24.58,24.58,24.39,24.58,24.58,400
1/21/2015,24.38,24.39,24,24.36,24.36,2140
1/22/2015,24.36,24.38,24,24.3,24.3,1430
1/23/2015,24.28,24.28,24.24,24.27,24.27,260
1/26/2015,24.27,24.27,24,24.03,24.03,600
1/27/2015,24.18,24.18,24,24,24,1900
1/28/2015,24,24.01,23.9,23.9,23.9,2040
1/29/2015,24,24,23.71,23.9,23.9,1870
1/30/2015,23.62,23.9,23.62,23.9,23.9,390
2/2/2015,23.72,24.29,23.72,24.29,24.29,12380
2/3/2015,24.29,24.29,23.91,23.91,23.91,1980
2/4/2015,24.23,24.23,23.62,23.62,23.62,2920
2/5/2015,24,24,23.28,23.62,23.62,1320
2/6/2015,23.62,23.62,23.42,23.42,23.42,1030
2/9/2015,23.81,23.81,23.52,23.52,23.52,4010
2/10/2015,23.52,23.8,23.52,23.8,23.8,4090
2/11/2015,23.8,23.8,23.57,23.71,23.71,1270
2/12/2015,23.71,23.71,23.42,23.62,23.62,340
2/13/2015,23.61,23.62,23.47,23.62,23.62,490
2/16/2015,23.61,23.62,23.61,23.61,23.61,190
2/17/2015,23.47,23.62,23.47,23.61,23.61,180
2/18/2015,23.61,23.76,23.52,23.76,23.76,1200
2/19/2015,23.89,23.89,23.52,23.52,23.52,380
2/20/2015,23.52,23.52,23.47,23.52,23.52,430
2/23/2015,23.33,23.52,23.33,23.42,23.42,1280
2/24/2015,23.64,23.64,23.4,23.4,23.4,670
2/25/2015,23.33,23.52,23.33,23.52,23.52,430
2/26/2015,23.5,23.51,23.23,23.42,23.42,800
2/27/2015,23.51,23.51,22.75,23.23,23.23,3240
3/2/2015,23.04,23.04,22.66,23.04,23.04,130
3/3/2015,23.03,23.03,22.71,23.03,23.03,360
3/4/2015,22.75,23.02,22.75,23,23,230
3/5/2015,22.99,22.99,22.58,22.94,22.94,130
3/6/2015,22.93,22.93,22.9,22.9,22.9,220
3/9/2015,22.92,22.92,22.7,22.9,22.9,290
3/10/2015,22.89,22.89,22.75,22.75,22.75,160
3/11/2015,22.61,22.75,22.61,22.75,22.75,230
3/12/2015,22.74,22.74,22.46,22.7,22.7,870
3/13/2015,22.7,22.75,22.47,22.56,22.56,1280
3/16/2015,22.66,22.9,22.56,22.66,22.66,1460
3/17/2015,22.66,22.89,22.56,22.56,22.56,380
3/18/2015,22.56,22.66,22.09,22.09,22.09,1210
3/19/2015,22.56,22.66,22.56,22.66,22.66,180
3/23/2015,22.66,22.66,22.35,22.35,22.35,1260
3/24/2015,22.35,22.61,22.35,22.61,22.61,530
3/25/2015,22.56,22.94,22.56,22.94,22.94,870
3/26/2015,23.03,23.03,22.75,22.85,22.85,490
3/27/2015,23.02,23.02,22.75,22.85,22.85,1000
3/30/2015,23.03,23.52,22.75,22.75,22.75,1000
3/31/2015,22.85,22.85,22.75,22.85,22.85,950
4/1/2015,22.85,22.85,22.66,22.66,22.66,300
4/2/2015,22.84,22.85,22.75,22.75,22.75,460
4/3/2015,22.85,22.85,22.66,22.75,22.75,280
4/6/2015,22.74,22.74,22.13,22.37,22.37,3580
4/7/2015,22.27,22.56,22.22,22.37,22.37,8390
4/8/2015,22.37,22.37,22.08,22.08,22.08,2630
4/10/2015,22.08,22.27,22.07,22.26,22.26,4720
4/13/2015,22.08,22.27,22.08,22.27,22.27,6320
4/14/2015,22.27,22.32,22.08,22.27,22.27,1740
4/15/2015,22.36,22.36,22.08,22.29,22.29,6550
4/16/2015,22.32,22.83,22.32,22.83,22.83,4880
4/17/2015,22.83,22.85,22.46,22.85,22.85,20490
4/20/2015,23.04,23.04,22.75,23.03,23.03,630
4/21/2015,23.03,23.33,22.94,23.18,23.18,3070
4/22/2015,23.18,23.49,23.04,23.49,23.49,4040
4/23/2015,23.49,24.19,23.49,24.19,24.19,9420
4/24/2015,24.19,24.48,24,24.19,24.19,830
4/27/2015,24.67,24.67,24,24.17,24.17,390
4/28/2015,24.48,24.48,23.75,24.28,24.28,710
4/29/2015,24.29,24.84,24,24.84,24.84,2340
4/30/2015,24.84,24.84,24.11,24.42,24.42,1710
5/4/2015,24.42,24.42,23.69,24,24,240
5/5/2015,24.41,24.41,24,24,24,210
5/6/2015,24.38,24.38,23.54,24,24,520
5/7/2015,23.99,24,23.52,23.92,23.92,1190
5/8/2015,23.92,23.92,23.33,23.92,23.92,1730
5/11/2015,23.92,23.92,23.25,23.52,23.52,12570
5/12/2015,23.9,23.9,23.23,23.23,23.23,2960
5/13/2015,23.14,23.52,23.14,23.16,23.16,800
5/14/2015,23.16,23.5,23.04,23.05,23.05,2040
5/15/2015,23.05,23.07,23.04,23.05,23.05,6450
5/18/2015,23.52,23.52,23.14,23.32,23.32,180
5/19/2015,23.04,23.33,23.04,23.33,23.33,2100
5/20/2015,23.23,24,23.23,23.33,23.33,1450
5/21/2015,23.71,23.9,23.14,23.9,23.9,1130
5/22/2015,23.9,23.9,23.23,23.9,23.9,780
5/25/2015,23.9,23.9,23.52,23.9,23.9,90
5/26/2015,24,24,23.52,23.99,23.99,490
5/27/2015,23.99,24,23.98,23.98,23.98,420
5/28/2015,23.95,23.95,23.72,23.72,23.72,370
5/29/2015,23.72,23.72,23.33,23.33,23.33,1770
6/1/2015,23.52,23.52,23.04,23.04,23.04,2160
6/2/2015,23.52,23.52,23.14,23.33,23.33,1610
6/3/2015,23.33,24.02,23.32,24.02,24.02,1490
6/4/2015,23.26,23.26,22.62,23.08,23.08,4430
6/5/2015,23.08,23.08,23.08,23.08,23.08,4980
6/8/2015,23.08,23.26,22.62,23.26,23.26,3930
6/9/2015,23.25,23.26,23.25,23.26,23.26,1570
6/10/2015,23.35,23.52,23.17,23.52,23.52,2600
6/11/2015,23.52,24.22,23.45,24.22,24.22,13810
6/12/2015,24.46,24.83,24.46,24.46,24.46,2390
6/15/2015,23.26,23.26,23.08,23.08,23.08,480
6/16/2015,23.08,23.45,22.38,23.45,23.45,3370
6/17/2015,23.45,24,23.44,24,24,11940
6/18/2015,24,24.14,23.54,24.14,24.14,9790
6/19/2015,24.23,24.65,24.02,24.65,24.65,8060
6/22/2015,24.18,24.65,24.18,24.65,24.65,7360
6/23/2015,24.29,24.82,24.29,24.82,24.82,4310
