Date,Open,High,Low,Close,Adj Close,Volume
12/8/2014,9.95,9.95,9.92,9.92,9.42,740
12/9/2014,9.9,9.9,9.7,9.87,9.37,2590
12/10/2014,9.87,9.87,9.85,9.86,9.36,1340
12/11/2014,9.85,9.86,9.85,9.86,9.36,1270
12/12/2014,9.86,9.87,9.8,9.87,9.37,5160
12/15/2014,9.85,9.85,9.7,9.85,9.35,2230
12/16/2014,9.85,9.85,9.8,9.85,9.35,1690
12/17/2014,9.9,9.94,9.7,9.94,9.44,2620
12/18/2014,9.75,9.95,9.75,9.95,9.45,2520
12/19/2014,9.75,10,9.75,10,9.5,3420
12/22/2014,10,10,9.9,10,9.5,2320
12/23/2014,10,10,9.75,10,9.5,1130
12/24/2014,10,10,9.99,10,9.5,3790
12/25/2014,10,10,9.9,10,9.5,510
12/26/2014,10,10.09,9.8,10.09,9.59,5020
12/29/2014,10,10.15,9.8,10,9.5,1290
12/30/2014,10,10,9.75,9.99,9.49,2610
12/31/2014,10,10.2,9.85,10.2,9.7,4200
1/2/2015,10.2,10.2,10,10.2,9.7,140
1/5/2015,10.2,10.3,9.91,10.15,9.65,680
1/6/2015,10,10,10,10,9.5,460
1/7/2015,10,10,9.86,10,9.5,3440
1/8/2015,9.99,10,9.85,10,9.5,5690
1/9/2015,10,10,9.86,10,9.5,1100
1/12/2015,9.98,10,9.85,10,9.5,4560
1/13/2015,9.99,10,9.9,10,9.5,12320
1/15/2015,10,10.3,9.99,10.3,9.8,5440
1/16/2015,10.2,10.25,10,10.15,9.65,9570
1/19/2015,10.15,10.15,10,10.14,9.64,8180
1/20/2015,10.14,10.15,10.14,10.14,9.64,2300
1/21/2015,10.14,10.14,10.05,10.13,9.63,1400
1/22/2015,10.13,10.14,10.12,10.13,9.63,920
1/23/2015,10.13,10.13,10,10.1,9.6,5490
1/26/2015,10.1,10.13,10,10.01,9.51,3330
1/27/2015,10.01,10.25,10,10.05,9.55,1320
1/28/2015,10.05,10.2,10.05,10.19,9.69,860
1/29/2015,10.1,10.18,10.1,10.18,9.68,1480
1/30/2015,10.18,10.18,10,10.18,9.68,1350
2/2/2015,10.18,10.3,10.16,10.18,9.68,1900
2/3/2015,10.3,10.3,10.05,10.27,9.77,1100
2/4/2015,10.26,10.3,10.05,10.2,9.7,1580
2/5/2015,10.2,10.2,10.1,10.1,9.6,1850
2/6/2015,10.1,10.2,10.1,10.1,9.6,960
2/9/2015,10.15,10.29,10.1,10.24,9.74,1270
2/10/2015,10.24,10.24,10.1,10.24,9.74,1470
2/11/2015,10.29,10.29,10.2,10.2,9.7,1300
2/12/2015,10.25,10.25,10.05,10.15,9.65,2140
2/13/2015,10.15,10.3,9.86,10.2,9.7,10060
2/16/2015,10.2,10.25,10.2,10.2,9.7,450
2/17/2015,10.25,10.25,10.2,10.2,9.7,1770
2/18/2015,10.2,10.25,10.2,10.2,9.7,1840
2/19/2015,10.2,10.2,10.01,10.2,9.7,630
2/20/2015,10.19,10.2,10.01,10.2,9.7,500
2/23/2015,10.19,10.24,10.01,10.2,9.7,1050
2/24/2015,10.2,10.25,10.05,10.19,9.69,3150
2/25/2015,10.19,10.19,10,10.1,9.6,1220
2/26/2015,10.1,10.1,10,10,9.5,3090
2/27/2015,10.1,10.1,9.96,10,9.5,1340
3/2/2015,10,10.1,10,10,9.5,4700
3/3/2015,10.1,10.1,10.02,10.02,9.52,270
3/4/2015,10.03,10.08,10.02,10.02,9.52,660
3/5/2015,10.05,10.08,10,10.08,9.58,5740
3/6/2015,10,10.08,10,10,9.5,9030
3/9/2015,10,10.02,10,10.02,9.52,370
3/10/2015,10.1,10.2,10,10,9.5,6160
3/11/2015,10,10.01,10,10.01,9.51,370
3/12/2015,10.05,10.25,10.05,10.2,9.7,2040
3/13/2015,10,10.25,10,10.24,9.74,3490
3/16/2015,10.24,10.25,10.2,10.22,9.72,550
3/17/2015,10.23,10.25,10.2,10.2,9.7,15050
3/18/2015,10.25,10.3,9.9,9.9,9.4,16570
3/19/2015,10.19,10.35,10.19,10.3,9.8,1000
3/23/2015,10.35,10.35,10.05,10.2,9.7,1640
3/24/2015,10.19,10.25,10.14,10.15,9.65,3270
3/25/2015,10.15,10.25,10.15,10.2,9.7,1490
3/26/2015,10.2,10.21,10.2,10.21,9.71,2540
3/27/2015,10.2,10.3,10.2,10.25,9.75,1320
3/30/2015,10.21,10.4,10.21,10.4,9.9,5550
3/31/2015,10.4,10.4,10.34,10.35,9.85,6640
4/1/2015,10.4,10.5,10.4,10.4,9.9,1340
4/2/2015,10.4,10.41,10.4,10.4,9.9,9690
4/3/2015,10.5,10.5,10.4,10.49,9.99,900
4/6/2015,10.49,10.49,10.45,10.45,9.95,6110
4/7/2015,10.5,10.5,10.45,10.5,10,3370
4/8/2015,10.5,10.5,10.4,10.4,9.9,2750
4/10/2015,10.58,10.58,10.3,10.55,10.05,1910
4/13/2015,10.55,10.55,10.45,10.45,9.95,15540
4/14/2015,10.47,10.5,10.4,10.47,9.97,10950
4/15/2015,10.35,10.58,10.35,10.57,10.07,5010
4/16/2015,10.57,10.6,10.57,10.6,10.1,8260
4/17/2015,10.6,10.6,10.5,10.59,10.09,3270
4/20/2015,10.45,10.58,10.45,10.57,10.07,1130
4/21/2015,10.59,10.59,10.59,10.59,10.09,2060
4/22/2015,10.6,10.61,10.59,10.6,10.1,2870
4/23/2015,10.61,10.61,10.5,10.5,10,2990
4/24/2015,10.56,10.61,10.53,10.55,10.05,2290
4/27/2015,10.6,10.6,10.46,10.6,10.1,5690
4/28/2015,10.55,10.7,10.55,10.7,10.2,5890
4/29/2015,10.7,10.7,10.62,10.7,10.2,2400
4/30/2015,10.7,10.8,10.7,10.8,10.3,14140
5/4/2015,10.8,11,10.8,10.87,10.37,4110
5/5/2015,10.8,10.9,10.8,10.9,10.4,4900
5/6/2015,10.8,11,10.8,10.92,10.42,5060
5/7/2015,10.92,10.92,10.9,10.9,10.4,950
5/8/2015,10.82,10.83,10.82,10.83,10.33,830
5/12/2015,10.83,10.85,10.82,10.84,10.34,9270
5/13/2015,10.84,10.99,10.82,10.99,10.49,1230
5/14/2015,10.85,10.89,10.85,10.89,10.39,5340
5/15/2015,10.82,10.89,10.82,10.82,10.32,4180
5/18/2015,10.82,10.82,10.7,10.82,10.32,12740
5/19/2015,10.7,10.81,10.7,10.8,10.3,7170
5/20/2015,10.75,10.75,10.7,10.75,10.25,13380
5/21/2015,10.71,10.71,10.7,10.71,10.21,2490
5/22/2015,10.7,10.7,10.7,10.7,10.2,2550
5/25/2015,10.65,10.7,10.65,10.7,10.2,1660
5/26/2015,10.65,10.7,10.65,10.7,10.2,1920
5/27/2015,10.67,10.7,10.67,10.7,10.2,1790
5/28/2015,10.7,10.7,10.7,10.7,10.2,3200
5/29/2015,10.7,10.7,10.65,10.65,10.15,6590
6/1/2015,10.65,10.65,10.65,10.65,10.15,2100
6/2/2015,10.66,10.66,10.65,10.65,10.15,1490
6/3/2015,10.7,10.7,10.55,10.7,10.2,2700
6/4/2015,10.7,10.7,10.65,10.65,10.15,930
6/5/2015,10.7,10.7,10.65,10.65,10.15,750
6/8/2015,10.6,10.65,10.6,10.65,10.15,1190
6/9/2015,10.7,10.7,10.6,10.7,10.2,640
6/10/2015,10.6,10.7,10.6,10.65,10.15,2590
6/11/2015,10.7,10.7,10.6,10.6,10.1,570
6/12/2015,10.6,10.7,10.57,10.57,10.07,2510
6/15/2015,10.7,10.7,10.57,10.6,10.1,470
6/16/2015,10.7,10.7,10.5,10.69,10.19,1920
6/17/2015,10.69,10.69,10.65,10.69,10.19,2100
6/18/2015,10.69,10.9,10.65,10.9,10.4,5230
6/19/2015,10.9,11.2,10.9,11.2,10.7,12660
6/22/2015,11.2,11.2,11,11.19,10.69,5540
6/23/2015,11.2,11.25,11.1,11.2,10.7,8270
6/24/2015,11.2,11.24,11.2,11.24,10.74,10160
6/25/2015,11.24,11.25,11.15,11.2,10.7,8580
6/26/2015,11.2,11.2,11.16,11.2,10.7,2070
6/29/2015,11.1,11.25,11.1,11.2,10.7,2170
6/30/2015,11.2,11.5,11.05,11.5,10.85,17360
7/1/2015,11.18,11.18,10.85,11,10.35,2500
7/2/2015,10.99,11,10.95,10.95,10.3,1410
7/3/2015,10.92,10.95,10.89,10.95,10.3,5290
7/6/2015,10.9,10.9,10.75,10.81,10.16,3230
7/7/2015,10.79,10.79,10.5,10.77,10.12,6590
7/8/2015,10.8,10.8,10.65,10.8,10.15,6530
7/9/2015,10.98,10.98,10.66,10.94,10.29,820
7/10/2015,10.93,10.98,10.7,10.98,10.33,17290
7/13/2015,10.98,10.98,10.86,10.9,10.25,410
7/14/2015,11,11,10.9,10.9,10.25,3380
7/15/2015,10.9,10.9,10.8,10.8,10.15,1430
7/16/2015,10.75,10.75,10.7,10.75,10.1,5470
7/20/2015,10.85,10.85,10.82,10.82,10.17,140
7/21/2015,10.83,10.83,10.75,10.83,10.18,2910
7/22/2015,10.83,10.9,10.78,10.9,10.25,2040
7/23/2015,10.78,10.9,10.76,10.9,10.25,1300
7/24/2015,10.89,10.89,10.7,10.88,10.23,2690
7/27/2015,10.65,10.9,10.65,10.9,10.25,2940
7/28/2015,10.75,10.9,10.7,10.7,10.05,2890
7/29/2015,10.7,10.9,10.7,10.9,10.25,600
7/30/2015,10.89,10.89,10.65,10.8,10.15,1260
7/31/2015,10.89,10.89,10.65,10.89,10.24,280
8/3/2015,10.89,10.89,10.7,10.7,10.05,2370
8/4/2015,10.89,10.89,10.75,10.75,10.1,360
8/5/2015,10.82,10.82,10.65,10.8,10.15,3690
8/6/2015,10.8,10.88,10.8,10.86,10.21,710
8/7/2015,10.63,10.86,10.63,10.86,10.21,1400
8/10/2015,10.86,10.86,10.6,10.86,10.21,1720
8/11/2015,10.57,10.88,10.57,10.87,10.22,1390
8/12/2015,10.86,10.87,10.8,10.86,10.21,1130
8/14/2015,10.89,10.89,10.84,10.85,10.2,1200
8/17/2015,10.9,10.9,10.83,10.86,10.21,1020
8/18/2015,10.89,10.89,10.8,10.88,10.23,350
8/19/2015,10.87,10.88,10.8,10.88,10.23,590
8/20/2015,10.88,10.88,10.85,10.88,10.23,470
8/21/2015,10.78,10.87,10.75,10.87,10.22,930
8/24/2015,10.88,10.88,10.7,10.85,10.2,6820
