Date,Open,High,Low,Close,Adj Close,Volume
12/7/2014,4.82,4.97,4.79,4.91,4.66,340
12/8/2014,4.91,4.91,4.8,4.8,4.55,1380
12/9/2014,4.8,4.89,4.76,4.85,4.6,350
12/10/2014,4.85,4.9,4.76,4.9,4.65,5770
12/11/2014,4.9,4.91,4.86,4.91,4.66,1070
12/14/2014,4.91,4.91,4.91,4.91,4.66,6940
12/15/2014,4.91,4.91,4.91,4.91,4.66,18810
12/16/2014,4.87,5,4.87,5,4.75,15730
12/17/2014,4.9,5.05,4.9,5,4.75,4660
12/18/2014,5,5.05,4.95,5,4.75,4510
12/21/2014,5,5.05,5,5,4.75,10600
12/22/2014,4.95,5,4.89,5,4.75,1430
12/23/2014,5,5.04,4.9,5,4.75,4950
12/24/2014,4.95,4.99,4.95,4.99,4.74,1880
12/25/2014,4.95,5,4.91,5,4.75,6030
12/28/2014,4.91,4.99,4.91,4.99,4.74,260
12/29/2014,4.9,4.98,4.9,4.98,4.73,1520
12/30/2014,4.9,5,4.88,5,4.75,16990
1/4/2015,4.9,5,4.9,5,4.75,1020
1/5/2015,4.91,4.91,4.91,4.91,4.66,540
1/6/2015,4.91,4.91,4.86,4.86,4.61,500
1/7/2015,4.89,4.89,4.75,4.84,4.59,6730
1/8/2015,4.7,4.84,4.7,4.71,4.46,280
1/11/2015,4.71,4.85,4.71,4.85,4.6,14270
1/12/2015,4.81,4.81,4.8,4.8,4.55,2160
1/14/2015,4.8,4.8,4.7,4.7,4.45,10210
1/15/2015,4.7,4.7,4.56,4.7,4.45,6320
1/18/2015,4.7,4.7,4.6,4.69,4.44,790
1/19/2015,4.69,4.7,4.55,4.69,4.44,5170
1/20/2015,4.69,4.69,4.6,4.69,4.44,5980
1/21/2015,4.56,4.7,4.55,4.7,4.45,5480
1/22/2015,4.7,4.7,4.7,4.7,4.45,410
1/25/2015,4.61,4.68,4.6,4.68,4.43,510
1/26/2015,4.61,4.68,4.6,4.6,4.35,11890
1/27/2015,4.7,4.7,4.61,4.67,4.42,2700
1/28/2015,4.65,4.65,4.56,4.56,4.31,25320
1/29/2015,4.56,4.6,4.56,4.56,4.31,6810
2/1/2015,4.63,4.63,4.6,4.6,4.35,2230
2/2/2015,4.5,4.63,4.49,4.63,4.38,2150
2/3/2015,4.6,4.6,4.5,4.6,4.35,450
2/4/2015,4.6,4.6,4.59,4.6,4.35,410
2/5/2015,4.55,4.6,4.48,4.6,4.35,6120
2/8/2015,4.6,4.6,4.56,4.59,4.34,2670
2/9/2015,4.5,4.58,4.5,4.58,4.33,2810
2/10/2015,4.57,4.7,4.57,4.7,4.45,11570
2/11/2015,4.7,4.7,4.7,4.7,4.45,10
2/12/2015,4.6,4.69,4.6,4.68,4.43,2360
2/15/2015,4.58,4.7,4.54,4.68,4.43,2960
2/16/2015,4.78,4.78,4.67,4.67,4.42,2980
2/17/2015,4.67,4.67,4.67,4.67,4.42,1630
2/18/2015,4.67,4.67,4.54,4.67,4.42,2260
2/19/2015,4.66,4.66,4.57,4.6,4.35,1930
2/22/2015,4.56,4.6,4.56,4.6,4.35,230
2/23/2015,4.56,4.6,4.55,4.6,4.35,14160
2/24/2015,4.46,4.6,4.4,4.58,4.33,21790
2/25/2015,4.45,4.55,4.45,4.55,4.3,320
2/26/2015,4.49,4.67,4.42,4.67,4.42,32730
3/1/2015,4.67,4.8,4.55,4.75,4.5,19250
3/2/2015,4.87,4.87,4.73,4.84,4.59,4520
3/3/2015,4.8,4.8,4.7,4.79,4.54,50420
3/4/2015,4.58,5,4.58,5,4.75,55400
3/5/2015,4.94,4.94,4.86,4.9,4.65,220
3/8/2015,4.85,4.9,4.85,4.9,4.65,620
3/9/2015,4.9,4.9,4.85,4.85,4.6,410
3/10/2015,4.71,4.99,4.71,4.99,4.74,29810
3/11/2015,4.99,5,4.91,5,4.75,43620
3/15/2015,4.99,4.99,4.85,4.98,4.73,2880
3/16/2015,4.99,4.99,4.85,4.99,4.74,4730
3/17/2015,4.85,4.97,4.85,4.9,4.65,4010
3/18/2015,4.9,4.9,4.9,4.9,4.65,590
3/22/2015,4.76,4.9,4.76,4.9,4.65,2040
3/23/2015,4.87,4.87,4.87,4.87,4.62,70
3/24/2015,4.75,4.88,4.75,4.85,4.6,20040
3/25/2015,4.71,4.9,4.71,4.9,4.65,1550
3/26/2015,4.76,4.95,4.76,4.95,4.7,7440
3/29/2015,4.93,4.93,4.93,4.93,4.68,100
3/31/2015,4.83,4.83,4.79,4.79,4.54,2100
4/1/2015,4.79,4.79,4.71,4.71,4.46,3730
4/2/2015,4.76,4.8,4.58,4.77,4.52,66610
4/5/2015,4.77,4.84,4.65,4.8,4.55,145050
4/6/2015,4.7,4.84,4.7,4.7,4.45,26650
4/7/2015,4.82,4.84,4.7,4.8,4.55,32850
4/9/2015,4.75,4.89,4.61,4.89,4.64,219470
4/12/2015,4.9,4.9,4.78,4.78,4.53,185200
4/13/2015,4.78,4.87,4.71,4.87,4.62,66930
4/14/2015,4.79,4.86,4.73,4.74,4.49,5580
4/15/2015,4.73,4.84,4.73,4.74,4.49,4100
4/16/2015,4.74,4.74,4.7,4.74,4.49,6960
4/19/2015,4.7,4.7,4.7,4.7,4.45,780
4/20/2015,4.7,4.7,4.69,4.69,4.44,3630
4/21/2015,4.64,4.66,4.63,4.63,4.38,3450
4/22/2015,4.62,4.73,4.62,4.73,4.48,4180
4/23/2015,4.65,4.74,4.6,4.74,4.49,38850
4/26/2015,4.6,4.83,4.6,4.83,4.58,60
4/27/2015,4.69,4.78,4.69,4.78,4.53,26250
4/28/2015,4.64,4.76,4.64,4.69,4.44,83050
4/29/2015,4.7,4.72,4.66,4.66,4.41,9370
5/3/2015,4.66,4.78,4.64,4.78,4.53,720
5/4/2015,4.65,4.65,4.64,4.64,4.39,6740
5/5/2015,4.6,4.64,4.51,4.51,4.26,71740
5/6/2015,4.5,4.63,4.49,4.63,4.38,160500
5/7/2015,4.5,4.7,4.5,4.7,4.45,10440
5/10/2015,4.56,4.7,4.56,4.58,4.33,3370
5/11/2015,4.58,4.58,4.45,4.5,4.25,61610
5/12/2015,4.45,4.45,4.32,4.32,4.07,65710
5/13/2015,4.39,4.39,4.26,4.39,4.14,68820
5/14/2015,4.38,4.38,4.25,4.38,4.13,15910
5/17/2015,4.27,4.3,4.27,4.27,4.02,1240
5/18/2015,4.26,4.26,4.25,4.26,4.01,7850
5/19/2015,4.22,4.26,4.21,4.26,4.01,9030
5/20/2015,4.25,4.26,4.14,4.15,3.9,7850
5/21/2015,4.26,4.26,4.16,4.26,4.01,1140
5/24/2015,4.25,4.25,4.24,4.24,3.99,1330
5/25/2015,4.25,4.25,4.21,4.25,4,5440
5/26/2015,4.2,4.2,4.15,4.17,3.92,1290
5/27/2015,4.2,4.2,4.2,4.2,3.95,8050
5/28/2015,4.19,4.19,4.17,4.17,3.92,3030
5/31/2015,4.15,4.15,4.12,4.12,3.87,480
6/1/2015,4.1,4.1,4.08,4.08,3.83,4070
6/2/2015,4.09,4.1,4.09,4.1,3.85,590
6/3/2015,4.1,4.1,4.1,4.1,3.85,1080
6/4/2015,4.09,4.15,4.07,4.14,3.89,1830
6/7/2015,4.14,4.14,4.14,4.14,3.89,770
6/8/2015,4.13,4.13,4.1,4.1,3.85,70
6/9/2015,4.1,4.2,4.07,4.18,3.93,3300
6/10/2015,4.1,4.1,4.1,4.1,3.85,950
6/11/2015,4.07,4.18,4.07,4.18,3.93,150
6/14/2015,4.18,4.18,4.18,4.18,3.93,2690
6/15/2015,4.15,4.15,4.03,4.15,3.9,4960
6/16/2015,4.15,4.15,4.14,4.14,3.89,399510
6/17/2015,4.07,4.18,4.06,4.18,3.93,55030
6/18/2015,4.12,4.3,4.12,4.27,4.12,47370
6/21/2015,4.26,4.26,4.15,4.15,4,2030
6/22/2015,4.15,4.22,4.15,4.15,4,484300
6/23/2015,4.12,4.2,4.12,4.2,4.05,2960
6/24/2015,4.19,4.19,4.18,4.18,4.03,3800
6/25/2015,4.18,4.2,4.14,4.2,4.05,10870
6/28/2015,4.08,4.19,4.06,4.08,3.93,33950
6/29/2015,4.16,4.2,4.08,4.08,3.93,9900
6/30/2015,4.08,4.19,4.08,4.19,4.04,13800
7/1/2015,4.21,4.3,4.11,4.3,4.15,20320
7/2/2015,4.21,4.28,4.21,4.28,4.13,1130
7/5/2015,4.22,4.22,4.22,4.22,4.07,970
7/6/2015,4.2,4.2,4.2,4.2,4.05,30
7/7/2015,4.2,4.2,4.12,4.2,4.05,3240
7/8/2015,4.2,4.2,4.13,4.2,4.05,14260
7/9/2015,4.2,4.22,4.2,4.2,4.05,9170
7/12/2015,4.24,4.24,4.2,4.23,4.08,9080
7/13/2015,4.23,4.25,4.23,4.25,4.1,9950
7/14/2015,4.25,4.29,4.25,4.28,4.13,4180
7/15/2015,4.29,4.3,4.25,4.25,4.1,5510
7/19/2015,4.29,4.29,4.25,4.28,4.13,1850
7/20/2015,4.2,4.4,4.2,4.4,4.25,24960
7/21/2015,4.4,4.66,4.4,4.53,4.38,45250
7/22/2015,4.59,4.59,4.46,4.46,4.31,2480
7/23/2015,4.4,4.4,4.36,4.36,4.21,970
7/26/2015,4.35,4.39,4.35,4.36,4.21,5210
7/27/2015,4.4,4.4,4.26,4.3,4.15,3210
7/28/2015,4.27,4.39,4.27,4.37,4.22,6050
7/29/2015,4.39,4.56,4.39,4.56,4.41,30770
7/30/2015,4.59,4.72,4.59,4.7,4.55,23320
8/2/2015,4.7,4.84,4.69,4.8,4.65,76380
8/3/2015,4.8,4.85,4.72,4.8,4.65,3860
8/4/2015,4.72,4.82,4.67,4.7,4.55,11760
8/5/2015,4.8,4.8,4.6,4.77,4.62,5960
8/6/2015,4.71,4.77,4.7,4.77,4.62,3220
8/9/2015,4.77,4.8,4.77,4.79,4.64,9680
8/10/2015,4.8,4.8,4.7,4.72,4.57,5490
8/11/2015,4.72,4.75,4.7,4.7,4.55,7170
8/13/2015,4.75,4.8,4.7,4.79,4.64,16470
8/16/2015,4.65,4.65,4.61,4.61,4.46,960
8/17/2015,4.7,4.78,4.63,4.78,4.63,4820
8/18/2015,4.78,4.78,4.75,4.78,4.63,4000
8/19/2015,4.78,4.8,4.67,4.78,4.63,5950
8/20/2015,4.78,4.8,4.78,4.79,4.64,7450
8/23/2015,4.8,4.8,4.7,4.8,4.65,4710
8/24/2015,4.8,4.8,4.8,4.8,4.65,10
8/25/2015,4.66,4.84,4.66,4.84,4.69,8170
8/26/2015,4.8,4.8,4.7,4.78,4.63,5060
8/27/2015,4.7,4.7,4.7,4.7,4.55,7400
8/30/2015,4.65,4.79,4.64,4.79,4.64,2090
8/31/2015,4.79,4.81,4.65,4.79,4.64,9060
9/1/2015,4.75,4.75,4.66,4.67,4.52,4650
9/2/2015,4.74,4.85,4.67,4.75,4.6,96970
9/3/2015,4.75,4.79,4.61,4.61,4.46,17300
9/6/2015,4.6,4.6,4.48,4.6,4.45,8980
9/7/2015,4.59,4.59,4.47,4.55,4.4,6560
9/8/2015,4.42,4.53,4.42,4.42,4.27,2240
9/9/2015,4.35,4.4,4.23,4.4,4.25,3910
9/10/2015,4.4,4.4,4.27,4.38,4.23,8470
9/13/2015,4.44,4.44,4.35,4.35,4.2,5190
9/14/2015,4.35,4.54,4.27,4.48,4.33,18840
9/15/2015,4.47,4.47,4.4,4.4,4.25,10500
9/16/2015,4.35,4.45,4.35,4.4,4.25,7380
9/17/2015,4.39,4.39,4.36,4.37,4.22,10100
9/20/2015,4.44,4.45,4.31,4.4,4.25,4860
9/21/2015,4.49,4.5,4.35,4.35,4.2,4190
9/22/2015,4.53,4.53,4.35,4.48,4.33,2030
9/27/2015,4.47,4.59,4.47,4.52,4.37,8550
9/28/2015,4.5,4.6,4.4,4.4,4.25,24430
9/29/2015,4.4,4.53,4.3,4.3,4.15,4370
9/30/2015,4.42,4.42,4.25,4.4,4.25,4440
10/1/2015,4.4,4.4,4.4,4.4,4.25,140
10/4/2015,4.47,4.47,4.35,4.39,4.24,7680
10/5/2015,4.39,4.45,4.39,4.4,4.25,20270
