Date,Open,High,Low,Close,Adj Close,Volume
1/2/2013,7,7,6.8,6.9,6.9,5684
1/3/2013,6.97,6.97,6.8,6.9,6.9,75
1/4/2013,7,7.2,6.95,7.06,7.06,6966
1/7/2013,7.18,7.18,6.97,7.14,7.14,3415
1/8/2013,7.31,7.31,7.1,7.1,7.1,4061
1/9/2013,7.2,7.2,6.99,7.14,7.14,3866
1/10/2013,6.95,7.12,6.95,7.12,7.12,1579
1/11/2013,7.3,7.3,7.09,7.15,7.15,2605
1/15/2013,7.2,7.2,7,7.18,7.18,2099
1/16/2013,7.34,7.56,7.2,7.38,7.38,5417
1/17/2013,7.59,7.59,7.38,7.5,7.5,24506
1/18/2013,7.58,7.58,7.4,7.4,7.4,8153
1/21/2013,7.51,7.51,7.4,7.4,7.4,3703
1/22/2013,7.4,7.4,7.25,7.4,7.4,2809
1/23/2013,7.39,7.4,7.2,7.35,7.35,2070
1/25/2013,7.35,7.39,7.13,7.34,7.34,2266
1/28/2013,7.34,7.34,7.13,7.13,7.13,946
1/29/2013,7.24,7.24,7.13,7.2,7.2,1333
1/30/2013,7.18,7.24,7.13,7.24,7.24,2863
1/31/2013,7.2,7.2,7,7.18,7.18,5482
2/1/2013,7.18,7.22,7,7.22,7.22,4686
2/4/2013,7.25,7.27,7.07,7.2,7.2,6182
2/5/2013,7.2,7.2,7.02,7.18,7.18,2262
2/6/2013,6.86,6.86,6.75,6.75,6.75,6120
2/7/2013,6.8,7,6.8,6.9,6.9,12445
2/8/2013,7.07,7.07,6.86,6.98,6.98,13710
2/11/2013,7.04,7.04,6.99,7,7,1770
2/12/2013,7,7.08,6.83,7.04,7.04,975
2/13/2013,7.07,7.07,6.91,7,7,2556
2/14/2013,6.99,6.99,6.9,6.95,6.95,870
2/15/2013,6.95,6.95,6.86,6.93,6.93,1195
2/18/2013,6.98,6.98,6.8,6.81,6.81,1177
2/19/2013,6.94,6.94,6.8,6.9,6.9,2124
2/20/2013,6.7,6.88,6.7,6.81,6.81,1394
2/21/2013,6.84,6.84,6.8,6.8,6.8,915
2/22/2013,6.85,6.85,6.78,6.8,6.8,1290
2/25/2013,6.8,6.8,6.65,6.65,6.65,2064
2/26/2013,6.94,6.94,6.65,6.77,6.77,8015
2/27/2013,6.88,6.88,6.68,6.79,6.79,1316
